code,split,label,regime
025a169a0bb0,train,2,well-lit
eeb231c3ef1f,train,1,uneven
a62e995f167c,train,0,well-lit
f4ea2a2cfbb9,train,0,well-lit
1c0cf251b426,train,1,well-lit
9d1feed37610,train,0,uneven
e7a7187066ad,train,2,well-lit
4c6c5a1bf5ab,train,0,dim
4a4cb731f91a,train,0,well-lit
de55ed25e0e8,train,0,uneven
e9286ddf6ffe,train,1,well-lit
dde43aa22ae6,train,2,well-lit
65cf00be6fb4,train,0,well-lit
8f9819752ca0,train,0,uneven
9a3c03a5ad0f,train,2,well-lit
6dcde47060f9,train,2,uneven
2d7666b8884f,train,1,well-lit
a8c54e2a4b79,train,1,uneven
36b5b3c9fb32,train,3,uneven
e62490b7d0e9,train,4,well-lit
0af296d2f04a,train,2,uneven
aeed1f251ceb,train,4,well-lit
fce73678f650,train,0,uneven
ac0a48ccbf70,train,0,dim
e868c3da340b,train,2,uneven
d332d7b8a26e,train,0,uneven
2994f17f58a5,train,1,well-lit
1120f6d08d95,train,2,uneven
b21abe5d9722,train,0,uneven
39923b29988a,train,2,uneven
bda7ff3b1562,train,2,well-lit
a419fcb2dfb5,train,0,dim
7131bf4c9e6f,train,0,dim
d6e26fe51dce,train,1,uneven
77e7c7a160c8,train,2,well-lit
43ddd0ab0cc4,train,2,well-lit
b085caa513a8,train,0,dim
dccdf750c962,train,0,uneven
4d9fc85a8259,train,3,well-lit
98e8adcf085c,train,2,dim
e582e56e7942,train,0,uneven
7ef5ff774a48,train,1,dim
e0d229db881a,train,0,uneven
30db694bee42,train,0,uneven
fcc55ae641ae,train,2,uneven
2b4c7b5f1f1e,train,0,uneven
4d1e7def7624,train,0,dim
e7d2c2c3b30f,train,4,well-lit
7ea756985353,train,1,well-lit
393fa5a023a5,train,0,uneven
4036471a1bb7,train,0,dim
883ddb650967,train,0,uneven
6194e0fff071,train,4,uneven
d3e56584a481,train,0,well-lit
384e6c915722,train,0,dim
f64b6e85f1c9,train,0,uneven
36e4b704b905,train,0,dim
c261b1aaa828,train,2,well-lit
7e77b61e1639,train,0,well-lit
1df0431bfa73,train,0,uneven
7ccf9d25dc48,train,0,uneven
6c30dd481717,train,0,well-lit
0125fbd2e791,train,0,uneven
aa5ce75edcf5,train,2,dim
fda39982a810,train,3,dim
b9c7c5182075,train,0,uneven
7c629b491d1a,train,4,well-lit
65f5d2a6eb7e,train,0,uneven
3132556f5352,train,0,well-lit
a386ec9aabde,train,2,well-lit
3ca637fddd56,train,4,dim
7a238a1d3cf3,train,4,uneven
870f433e8f37,train,0,uneven
436e7a7af761,train,0,uneven
26453eb7e989,train,2,uneven
2d04cead4d3a,train,0,well-lit
ecad6845f630,train,0,well-lit
f2d2a0c92034,train,4,well-lit
26463a5fb949,train,4,dim
11b5c77fbf79,train,2,uneven
7f2123bc89a3,train,0,well-lit
1c578b72d7b3,train,2,well-lit
86e7f98f73f1,train,2,uneven
9e99ae6ee7af,train,0,well-lit
13d014ccd136,train,0,well-lit
0e82bcacc475,train,4,dim
54dc6e8107cd,train,2,uneven
e135d7ba9a0e,train,0,uneven
aa4407aab872,train,0,uneven
e907d23cce3d,train,0,well-lit
28f93cad89c5,train,2,well-lit
5c817060c0ed,train,0,well-lit
595446774178,train,1,uneven
1da4a17c18c9,train,0,uneven
4409965eb2a4,train,0,uneven
cc839823755b,train,2,well-lit
addf66a50f42,train,0,uneven
d4bc001f7224,train,0,dim
97f290d31813,train,0,well-lit
8714d17bb6da,train,1,dim
1ca35d483772,train,0,uneven
80d24897669f,train,1,uneven
ace287a5c991,train,0,dim
6061f5b7378d,train,3,uneven
949710bead24,train,0,uneven
d69698f838db,train,0,uneven
89d9c071a56f,train,1,well-lit
aa0afc41ed19,train,2,well-lit
08b6e3240858,train,0,dim
67ed8cc78b97,train,0,well-lit
fed5bb685832,train,0,uneven
ffd97f8cd5aa,train,0,uneven
436fa3fd145a,train,0,dim
f3cd489acbee,train,2,uneven
df3adfd6ba36,train,2,dim
941d874c8afb,train,0,uneven
fe3b0e50be78,train,0,dim
ad2f0b9d059c,train,3,uneven
ff77e8e5b5f3,train,2,uneven
f1d719c97838,train,0,uneven
080ee76c958c,train,4,well-lit
94ef1d14597f,train,4,well-lit
09935d72892b,train,1,dim
57db4781e7ec,train,0,uneven
9da74370835a,train,2,well-lit
6a244e855d0e,train,3,uneven
5eb8fb1aad41,train,0,uneven
a00b4cb250a7,train,1,dim
0a85a1e8f9e9,train,0,well-lit
31452ad8808c,train,2,well-lit
76516f828d88,train,0,uneven
457c7c927e27,train,3,dim
a664d2055886,train,2,uneven
f0c13be90519,train,1,dim
1b3647865779,train,0,well-lit
ad1f7445b1a8,train,1,uneven
8bad12d70368,train,4,dim
58a9e0d7f7af,train,0,uneven
a32b5ce3d48a,train,4,well-lit
f8d62557ad0c,train,0,dim
3d663a6a50a3,train,2,well-lit
d0926ed2c8e5,train,0,uneven
7d1da90d3ca9,train,2,uneven
084c02cf077f,train,0,well-lit
5445255635f0,train,0,uneven
83d81ba5959c,train,0,well-lit
84b472c49cfa,train,0,dim
83b61051737f,train,2,uneven
1ab8d3431ffc,train,0,dim
387138ddf43d,train,0,dim
0182152c50de,train,0,uneven
98d41bce73a8,train,0,uneven
c280730cc211,train,2,well-lit
726dff37edc0,train,0,dim
c8fc0df22999,train,1,well-lit
3461dc601cc2,train,1,well-lit
576e189d23d4,train,4,well-lit
359bab5d784b,train,0,well-lit
698d6e422a80,train,2,well-lit
d93b61dc8f64,train,0,dim
d990a3f0cbdb,train,2,well-lit
9859e2a6cc24,train,4,well-lit
3823acc4e464,train,0,well-lit
8eb3337a54e9,train,2,uneven
59f3f70abddd,train,2,well-lit
c7d0deb71576,train,0,well-lit
cad5b1a82e60,train,0,well-lit
f762c272c522,train,1,well-lit
2a08ed6bbcbc,train,1,uneven
e04f3c6619a3,train,0,uneven
