epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.964474,0.780268,0.696126,0.423142,0.001
2,0.693629,0.701626,0.722458,0.458537,0.001
3,0.608938,0.68488,0.734769,0.538812,0.001
4,0.587056,0.652588,0.727528,0.518019,0.001
5,0.545488,0.641323,0.730148,0.464231,0.001
6,0.480251,0.520924,0.843625,0.638964,0.0001
7,0.195426,0.548952,0.873357,0.636816,0.0001
8,0.088686,0.607499,0.844198,0.610563,0.0001
9,0.050961,0.623391,0.876469,0.645764,0.0001
10,0.031185,0.737026,0.881644,0.678196,0.0001
11,0.02535,0.75587,0.874709,0.648606,0.0001
12,0.023008,0.751105,0.873123,0.656195,0.0001
13,0.020781,0.807321,0.883361,0.667251,0.0001
14,0.028705,0.839959,0.840701,0.606618,0.0001
15,0.036339,0.861032,0.855882,0.586673,0.0001
16,0.070642,1.095541,0.834974,0.591807,0.0001
17,0.071751,1.0674,0.797784,0.518696,0.0001
18,0.057309,0.867313,0.826932,0.621078,0.0001
19,0.032809,0.794154,0.876371,0.68331,0.0001
20,0.027287,0.805802,0.863412,0.648468,0.0001
21,0.01853,0.771949,0.856428,0.677883,0.0001
22,0.016367,0.819907,0.881822,0.687787,0.0001
23,0.015134,0.952593,0.841061,0.652721,0.0001
24,0.015215,0.950237,0.851531,0.662725,0.0001
25,0.019627,0.841735,0.863125,0.644694,0.0001
26,0.020553,0.797989,0.866399,0.665193,0.0001
27,0.018716,0.892117,0.863542,0.661807,0.0001
28,0.017404,0.980141,0.855142,0.623708,0.0001
29,0.014367,0.906213,0.8692,0.66004,0.0001
30,0.014108,0.99817,0.869144,0.654886,0.0001
31,0.013188,0.946531,0.869033,0.662115,0.0001
32,0.014606,0.96206,0.857343,0.662203,0.0001
33,0.013217,0.903286,0.879788,0.672032,0.0001
34,0.013433,0.972713,0.880964,0.678554,0.0001
35,0.01271,0.97781,0.873967,0.662861,0.0001
36,0.010633,0.972747,0.882072,0.668012,1e-05
37,0.010466,0.985069,0.878335,0.673893,1e-05
38,0.010423,0.987338,0.87859,0.672374,1e-05
39,0.010244,0.976199,0.878169,0.671154,1e-05
40,0.01041,1.003518,0.877545,0.674177,1e-05
41,0.010031,0.985948,0.874768,0.659073,1e-05
42,0.01016,1.005004,0.872867,0.652307,1e-05
43,0.010072,1.01208,0.870852,0.675354,1e-05
44,0.009723,0.995093,0.871462,0.656468,1e-05
45,0.009987,1.021497,0.87467,0.669242,1e-05
46,0.010043,1.023931,0.860715,0.667646,1e-05
47,0.009739,1.019462,0.872753,0.66931,1e-05
48,0.009884,1.036446,0.860299,0.66708,1e-05
49,0.009757,1.024637,0.872973,0.667631,1e-05
50,0.009533,1.043818,0.870942,0.66236,1e-05
51,0.009874,1.012684,0.867219,0.665852,1e-05
52,0.009544,1.036487,0.863042,0.665876,1e-05
53,0.009545,1.035723,0.87289,0.669103,1e-05
54,0.009839,1.052322,0.867108,0.664806,1e-05
55,0.009658,1.053476,0.872507,0.673245,1e-05
56,0.009833,1.040386,0.869294,0.657582,1e-05
57,0.010041,1.030503,0.870582,0.653507,1e-05
58,0.009589,1.055894,0.870539,0.656266,1e-05
59,0.009617,1.045721,0.871208,0.680513,1e-05
60,0.009777,1.015719,0.860021,0.640055,1e-05
61,0.009812,1.03298,0.872068,0.660914,1e-05
62,0.009653,1.050401,0.870976,0.684189,1e-05
63,0.009978,1.036104,0.869653,0.68577,1e-05
64,0.009633,1.037444,0.868406,0.656652,1e-05
65,0.009994,1.057431,0.868137,0.659227,1e-05
66,0.009437,1.011053,0.868617,0.6418,1.0000000000000002e-06
67,0.009046,1.013067,0.870668,0.650013,1.0000000000000002e-06
68,0.00928,1.067401,0.873703,0.668014,1.0000000000000002e-06
69,0.009237,1.051467,0.872943,0.668655,1.0000000000000002e-06
70,0.009232,1.052308,0.868651,0.662496,1.0000000000000002e-06
71,0.00906,1.036917,0.870313,0.668157,1.0000000000000002e-06
72,0.009204,1.03818,0.868821,0.64493,1.0000000000000002e-06
73,0.00933,1.037211,0.87001,0.674722,1.0000000000000002e-06
74,0.009297,1.045216,0.874495,0.662402,1.0000000000000002e-06
75,0.00929,1.031615,0.862135,0.664633,1.0000000000000002e-06
76,0.009075,1.066486,0.875818,0.673597,1.0000000000000002e-06
77,0.00911,1.069107,0.870362,0.664997,1.0000000000000002e-06
78,0.009273,1.048253,0.866019,0.645983,1.0000000000000002e-06
79,0.009419,1.022674,0.869052,0.644593,1.0000000000000002e-06
