epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,1.062787,0.834898,0.620883,0.320178,0.001
2,0.791635,0.735209,0.681573,0.42888,0.001
3,0.710919,0.698769,0.696304,0.428753,0.001
4,0.687749,0.686731,0.72803,0.405055,0.001
5,0.658313,0.673463,0.679771,0.426901,0.001
6,0.567292,0.523786,0.836204,0.652201,0.0001
7,0.436944,0.474845,0.871752,0.616837,0.0001
8,0.396282,0.429943,0.899496,0.67808,0.0001
9,0.370321,0.440306,0.897401,0.677526,0.0001
10,0.335644,0.430572,0.880636,0.659146,0.0001
11,0.326401,0.452547,0.890681,0.678257,0.0001
12,0.301915,0.480561,0.885459,0.691672,0.0001
13,0.26455,0.532026,0.883396,0.664193,0.0001
14,0.243612,0.468272,0.898044,0.704508,0.0001
15,0.249092,0.485551,0.917552,0.669261,0.0001
16,0.212143,0.478975,0.907801,0.676324,0.0001
17,0.197279,0.495001,0.881196,0.676356,0.0001
18,0.182792,0.532061,0.878343,0.667589,0.0001
19,0.189162,0.49503,0.893476,0.651723,0.0001
20,0.148789,0.601632,0.863779,0.646214,0.0001
21,0.150698,0.559453,0.902287,0.695145,0.0001
22,0.145754,0.554116,0.916024,0.704601,0.0001
23,0.134663,0.565854,0.884186,0.687393,0.0001
24,0.114115,0.707934,0.896387,0.677606,0.0001
25,0.138207,0.580525,0.897347,0.708317,0.0001
26,0.120406,0.554942,0.913735,0.693914,0.0001
27,0.112453,0.598118,0.907724,0.686995,0.0001
28,0.091294,0.665759,0.887407,0.646649,0.0001
29,0.095881,0.709526,0.890206,0.681373,0.0001
30,0.080987,0.602725,0.905975,0.699552,0.0001
31,0.068729,0.688911,0.918031,0.683388,0.0001
32,0.090876,0.648362,0.888218,0.699475,0.0001
33,0.09528,0.629527,0.898357,0.683338,0.0001
34,0.096274,0.688378,0.883604,0.685959,0.0001
35,0.068074,0.635873,0.881484,0.672238,0.0001
36,0.063279,0.648125,0.895494,0.683894,1e-05
37,0.048305,0.646435,0.889945,0.689049,1e-05
38,0.04527,0.65809,0.883034,0.68406,1e-05
39,0.045829,0.662352,0.893085,0.70202,1e-05
40,0.04182,0.666045,0.894288,0.698814,1e-05
41,0.048136,0.676427,0.892388,0.698298,1e-05
42,0.036077,0.66744,0.892388,0.698298,1e-05
43,0.036242,0.682954,0.884442,0.686857,1e-05
44,0.043324,0.686988,0.885827,0.674244,1e-05
45,0.034937,0.684992,0.881131,0.673196,1e-05
46,0.034239,0.706066,0.884463,0.673629,1e-05
47,0.038558,0.698849,0.884968,0.697808,1e-05
48,0.029058,0.724954,0.887142,0.690648,1e-05
49,0.031462,0.699977,0.885088,0.693242,1e-05
50,0.033908,0.738722,0.885599,0.68982,1e-05
