epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,1.126571,0.869586,0.693588,0.319416,0.001
2,0.878509,0.758693,0.686616,0.351309,0.001
3,0.787757,0.717824,0.677998,0.431067,0.001
4,0.749531,0.679621,0.720989,0.427613,0.001
5,0.714158,0.687068,0.726407,0.343103,0.001
6,0.60777,0.491906,0.886652,0.656117,0.0001
7,0.514411,0.462107,0.889129,0.640599,0.0001
8,0.470734,0.47086,0.871414,0.608134,0.0001
9,0.438094,0.428416,0.881417,0.654557,0.0001
10,0.394355,0.445439,0.88098,0.659881,0.0001
11,0.372622,0.384075,0.909981,0.680881,0.0001
12,0.374641,0.417509,0.890084,0.653643,0.0001
13,0.347866,0.424706,0.897887,0.635164,0.0001
14,0.314894,0.413594,0.904654,0.691934,0.0001
15,0.300775,0.481377,0.899551,0.674504,0.0001
16,0.287022,0.437126,0.901779,0.68354,0.0001
17,0.286822,0.491419,0.88654,0.650298,0.0001
18,0.263501,0.475915,0.896448,0.669472,0.0001
19,0.2489,0.47057,0.899634,0.68845,0.0001
20,0.220187,0.558656,0.887927,0.66946,0.0001
21,0.24534,0.499784,0.893096,0.663376,0.0001
22,0.219979,0.511844,0.903203,0.679451,0.0001
23,0.218287,0.607599,0.899751,0.654136,0.0001
24,0.188942,0.586625,0.879291,0.670123,0.0001
25,0.196838,0.514123,0.893771,0.68217,0.0001
26,0.174124,0.533791,0.899198,0.706522,0.0001
27,0.173534,0.592881,0.911749,0.71933,0.0001
28,0.16664,0.611015,0.892155,0.681426,0.0001
29,0.15096,0.620449,0.894625,0.69475,0.0001
30,0.159962,0.612098,0.902384,0.642664,0.0001
31,0.154389,0.640697,0.892005,0.668102,0.0001
32,0.160425,0.517642,0.89863,0.692219,0.0001
33,0.129815,0.563843,0.89364,0.672191,0.0001
34,0.126806,0.612827,0.893023,0.676159,0.0001
35,0.120908,0.6602,0.914318,0.703955,0.0001
36,0.106608,0.601807,0.902602,0.708234,1e-05
37,0.083008,0.59991,0.904453,0.707691,1e-05
38,0.071612,0.611581,0.895859,0.70557,1e-05
39,0.073119,0.604549,0.903999,0.715499,1e-05
40,0.0702,0.602619,0.905371,0.698923,1e-05
41,0.070905,0.61206,0.898726,0.693394,1e-05
42,0.068105,0.608366,0.90536,0.703336,1e-05
43,0.06891,0.640334,0.89908,0.690692,1e-05
44,0.071365,0.628916,0.901539,0.714773,1e-05
45,0.066809,0.632026,0.902209,0.693696,1e-05
46,0.055239,0.628206,0.904598,0.709688,1e-05
47,0.054643,0.624558,0.901176,0.697464,1e-05
48,0.056161,0.643963,0.903137,0.705206,1e-05
49,0.062346,0.649232,0.903737,0.708624,1e-05
50,0.055992,0.648469,0.908609,0.707694,1e-05
51,0.061983,0.659072,0.903834,0.700521,1e-05
52,0.046444,0.67139,0.904337,0.710737,1e-05
53,0.056943,0.664478,0.900373,0.706524,1e-05
54,0.055923,0.663431,0.902371,0.702863,1e-05
55,0.04821,0.66678,0.905349,0.708008,1e-05
56,0.050955,0.675506,0.897826,0.695701,1e-05
57,0.057504,0.690236,0.900889,0.697721,1e-05
58,0.046766,0.68064,0.900321,0.680229,1e-05
59,0.05033,0.684034,0.902237,0.692664,1e-05
60,0.051301,0.686161,0.901513,0.685962,1e-05
61,0.049993,0.704298,0.902237,0.692664,1e-05
62,0.048203,0.698206,0.90141,0.691775,1e-05
63,0.042809,0.690553,0.901642,0.695907,1e-05
64,0.042778,0.714393,0.898713,0.679234,1e-05
65,0.047591,0.698593,0.901778,0.670374,1e-05
66,0.041959,0.711646,0.898713,0.679234,1.0000000000000002e-06
67,0.045673,0.708429,0.900421,0.678904,1.0000000000000002e-06
68,0.043776,0.714665,0.898125,0.675788,1.0000000000000002e-06
69,0.043192,0.716959,0.900922,0.677598,1.0000000000000002e-06
70,0.042336,0.718271,0.900421,0.678904,1.0000000000000002e-06
71,0.048737,0.718554,0.900914,0.682009,1.0000000000000002e-06
72,0.041103,0.712602,0.901872,0.699523,1.0000000000000002e-06
73,0.044371,0.723278,0.898713,0.679234,1.0000000000000002e-06
74,0.036535,0.717527,0.898612,0.685551,1.0000000000000002e-06
75,0.043267,0.724609,0.898475,0.685214,1.0000000000000002e-06
76,0.042386,0.727518,0.897608,0.677098,1.0000000000000002e-06
77,0.04288,0.72437,0.899066,0.68866,1.0000000000000002e-06
78,0.045217,0.712144,0.904095,0.697758,1.0000000000000002e-06
79,0.04288,0.707813,0.898125,0.675788,1.0000000000000002e-06
80,0.037758,0.720874,0.900555,0.67763,1.0000000000000002e-06
81,0.042453,0.731495,0.898576,0.672921,1.0000000000000002e-06
82,0.037894,0.716711,0.89726,0.667284,1.0000000000000002e-06
83,0.043468,0.722881,0.899693,0.669269,1.0000000000000002e-06
84,0.048574,0.733915,0.896533,0.665133,1.0000000000000002e-06
85,0.039987,0.72856,0.89726,0.667284,1.0000000000000002e-06
86,0.046842,0.729965,0.897121,0.668561,1.0000000000000002e-06
87,0.039555,0.716809,0.90068,0.688047,1.0000000000000002e-06
88,0.038272,0.732676,0.897608,0.677098,1.0000000000000002e-06
89,0.033482,0.724897,0.899813,0.67993,1.0000000000000002e-06
90,0.032536,0.735912,0.898337,0.673799,1.0000000000000002e-06
91,0.039009,0.733094,0.897849,0.670731,1.0000000000000002e-06
92,0.043277,0.730386,0.899182,0.678102,1.0000000000000002e-06
93,0.049449,0.738965,0.896185,0.672942,1.0000000000000002e-06
94,0.04036,0.749685,0.900308,0.68314,1.0000000000000002e-06
95,0.041576,0.72815,0.897608,0.677098,1.0000000000000002e-06
96,0.036868,0.733252,0.899101,0.688793,1.0000000000000002e-07
97,0.046901,0.753318,0.899914,0.680272,1.0000000000000002e-07
98,0.039104,0.726176,0.899557,0.670544,1.0000000000000002e-07
99,0.03752,0.741358,0.899914,0.680272,1.0000000000000002e-07
100,0.041574,0.738753,0.901543,0.67529,1.0000000000000002e-07
