epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.455531,0.361073,0.65166,0.429863,0.001
2,0.369811,0.333416,0.711142,0.395241,0.001
3,0.335203,0.30908,0.763626,0.554877,0.001
4,0.321005,0.320327,0.761977,0.493881,0.001
5,0.303885,0.288863,0.779661,0.524845,0.001
6,0.270084,0.227206,0.833772,0.582039,0.0001
7,0.218114,0.204234,0.888177,0.620656,0.0001
8,0.201377,0.18362,0.892295,0.601106,0.0001
9,0.184287,0.196736,0.9011,0.589325,0.0001
10,0.164097,0.177097,0.88018,0.61677,0.0001
11,0.153093,0.175211,0.885641,0.641961,0.0001
12,0.147418,0.171246,0.899935,0.662255,0.0001
13,0.14023,0.194252,0.901822,0.668683,0.0001
14,0.127795,0.213458,0.905327,0.628098,0.0001
15,0.1304,0.153337,0.909891,0.668852,0.0001
16,0.124399,0.219067,0.897499,0.604773,0.0001
17,0.108518,0.207283,0.904258,0.690466,0.0001
18,0.099942,0.185842,0.89787,0.674824,0.0001
19,0.095292,0.227983,0.89506,0.689636,0.0001
20,0.087563,0.212109,0.902941,0.666233,0.0001
21,0.090183,0.214327,0.906723,0.652246,0.0001
22,0.08208,0.235515,0.893262,0.632723,0.0001
23,0.07689,0.230681,0.902143,0.670441,0.0001
24,0.070672,0.248424,0.881827,0.667285,0.0001
25,0.075026,0.256023,0.906881,0.705229,0.0001
26,0.0748,0.251452,0.906276,0.685676,0.0001
27,0.067633,0.264323,0.885222,0.632699,0.0001
28,0.060595,0.26929,0.893124,0.637731,0.0001
29,0.0662,0.247972,0.887587,0.64054,0.0001
30,0.057465,0.263193,0.876236,0.630019,0.0001
31,0.057833,0.253474,0.906961,0.690342,0.0001
32,0.04299,0.315957,0.860149,0.628428,0.0001
33,0.056279,0.260838,0.880605,0.671139,0.0001
34,0.055331,0.295829,0.892315,0.655088,0.0001
35,0.055802,0.266321,0.871249,0.643528,0.0001
36,0.037011,0.286242,0.903512,0.705707,1e-05
37,0.038115,0.290216,0.907871,0.712189,1e-05
38,0.033734,0.289775,0.909225,0.722019,1e-05
39,0.029255,0.290036,0.911009,0.713579,1e-05
40,0.027962,0.299719,0.89378,0.685371,1e-05
41,0.027812,0.317008,0.908883,0.686911,1e-05
42,0.02844,0.300869,0.906116,0.68885,1e-05
43,0.025477,0.318663,0.9044,0.694799,1e-05
44,0.025879,0.321925,0.901753,0.687057,1e-05
45,0.022435,0.319868,0.906628,0.683382,1e-05
46,0.024002,0.340693,0.903671,0.677925,1e-05
