epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.517453,0.473289,0.689269,0.40261,0.001
2,0.44952,0.431565,0.71423,0.533597,0.001
3,0.430193,0.429595,0.717057,0.491724,0.001
4,0.424636,0.420245,0.707243,0.457697,0.001
5,0.413803,0.40588,0.702023,0.46841,0.001
6,0.381889,0.389301,0.788172,0.551718,0.0001
7,0.364032,0.34418,0.859403,0.585016,0.0001
8,0.344595,0.347009,0.858914,0.5729,0.0001
9,0.334649,0.371677,0.854792,0.640209,0.0001
10,0.326453,0.331099,0.894941,0.638631,0.0001
11,0.314566,0.337627,0.915114,0.636091,0.0001
12,0.308958,0.337944,0.854934,0.621531,0.0001
13,0.295419,0.337291,0.884242,0.598056,0.0001
14,0.28924,0.348677,0.908284,0.600285,0.0001
15,0.279685,0.324417,0.90783,0.689434,0.0001
16,0.2753,0.344315,0.88634,0.669583,0.0001
17,0.267676,0.330156,0.882115,0.679268,0.0001
18,0.268317,0.338818,0.901566,0.690856,0.0001
19,0.254949,0.345966,0.878168,0.637803,0.0001
20,0.257327,0.337503,0.878896,0.683943,0.0001
21,0.249561,0.367245,0.897478,0.630877,0.0001
22,0.24884,0.329309,0.888969,0.647722,0.0001
23,0.240439,0.369003,0.877929,0.66505,0.0001
24,0.242421,0.387318,0.88241,0.639597,0.0001
25,0.238851,0.330763,0.920508,0.720775,0.0001
26,0.233293,0.386823,0.893563,0.667249,0.0001
27,0.228788,0.35556,0.899859,0.64939,0.0001
28,0.23497,0.360846,0.909517,0.70334,0.0001
29,0.225241,0.351063,0.869282,0.63787,0.0001
30,0.221373,0.360863,0.900122,0.64363,0.0001
31,0.227972,0.359582,0.908668,0.68717,0.0001
32,0.220199,0.366513,0.900426,0.65732,0.0001
33,0.221768,0.356287,0.881302,0.656108,0.0001
34,0.218128,0.370357,0.898334,0.660624,0.0001
35,0.216358,0.362522,0.888581,0.690362,0.0001
36,0.210938,0.353775,0.897839,0.683924,1e-05
37,0.207765,0.350282,0.89797,0.684842,1e-05
38,0.205681,0.357753,0.896193,0.671184,1e-05
39,0.204579,0.361678,0.903732,0.673259,1e-05
40,0.202784,0.359894,0.903679,0.658053,1e-05
41,0.202389,0.359104,0.905176,0.661579,1e-05
42,0.201838,0.358451,0.911975,0.674619,1e-05
43,0.200558,0.357692,0.910575,0.673285,1e-05
44,0.202574,0.359637,0.912561,0.67807,1e-05
45,0.203039,0.362375,0.90642,0.67155,1e-05
46,0.20004,0.359384,0.90888,0.677092,1e-05
47,0.200302,0.36569,0.910196,0.69108,1e-05
48,0.199048,0.360484,0.903443,0.669104,1e-05
49,0.199549,0.36299,0.910087,0.678104,1e-05
50,0.19834,0.35943,0.906448,0.663207,1e-05
51,0.199872,0.361707,0.905406,0.665123,1e-05
52,0.200467,0.3573,0.904862,0.67506,1e-05
53,0.198859,0.360821,0.906897,0.680829,1e-05
54,0.197708,0.36013,0.906596,0.657681,1e-05
55,0.199588,0.366765,0.907429,0.678527,1e-05
56,0.19695,0.368784,0.903856,0.660132,1e-05
57,0.196867,0.361893,0.911727,0.674382,1e-05
58,0.198319,0.355656,0.904165,0.669214,1e-05
59,0.197638,0.352322,0.90839,0.670425,1e-05
60,0.195318,0.363972,0.901821,0.666681,1e-05
61,0.19554,0.358297,0.909919,0.677696,1e-05
62,0.197124,0.358117,0.906629,0.668947,1e-05
63,0.195016,0.359601,0.910977,0.680759,1e-05
64,0.197156,0.358212,0.90587,0.662156,1e-05
65,0.196782,0.354597,0.899192,0.650308,1e-05
66,0.1947,0.355744,0.909618,0.671958,1.0000000000000002e-06
67,0.195919,0.355544,0.904823,0.663068,1.0000000000000002e-06
68,0.194778,0.353746,0.90357,0.657003,1.0000000000000002e-06
69,0.194349,0.355097,0.90587,0.669613,1.0000000000000002e-06
70,0.195043,0.356614,0.906569,0.665072,1.0000000000000002e-06
71,0.195264,0.355792,0.905633,0.668465,1.0000000000000002e-06
72,0.195398,0.354954,0.908072,0.667151,1.0000000000000002e-06
73,0.195318,0.358009,0.906627,0.663767,1.0000000000000002e-06
74,0.19439,0.357908,0.909255,0.671981,1.0000000000000002e-06
