epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.494615,0.375622,0.681039,0.426077,0.001
2,0.428624,0.340154,0.744357,0.401275,0.001
3,0.400713,0.337377,0.733983,0.51311,0.001
4,0.388182,0.330051,0.741421,0.423523,0.001
5,0.382641,0.304819,0.775475,0.473765,0.001
6,0.351586,0.249722,0.861759,0.565269,0.0001
7,0.332034,0.241482,0.803377,0.54954,0.0001
8,0.306295,0.205131,0.890566,0.673711,0.0001
9,0.30456,0.222383,0.884633,0.577208,0.0001
10,0.291586,0.229773,0.870656,0.561744,0.0001
11,0.28867,0.260196,0.865694,0.58391,0.0001
12,0.256484,0.190932,0.90074,0.629573,0.0001
13,0.265379,0.199407,0.830064,0.579076,0.0001
14,0.252019,0.188091,0.881331,0.656872,0.0001
15,0.260762,0.197582,0.881223,0.588287,0.0001
16,0.243791,0.221414,0.866717,0.603003,0.0001
17,0.266169,0.202607,0.885686,0.592924,0.0001
18,0.247214,0.192442,0.865965,0.61839,0.0001
19,0.240969,0.192098,0.905382,0.695986,0.0001
20,0.233568,0.197241,0.886692,0.673379,0.0001
21,0.223686,0.224297,0.868202,0.611525,0.0001
22,0.216416,0.221157,0.877207,0.668432,0.0001
23,0.234885,0.216642,0.874429,0.675703,0.0001
24,0.206123,0.213884,0.871637,0.654682,0.0001
25,0.200382,0.228797,0.89045,0.662956,0.0001
26,0.200082,0.211644,0.912919,0.658273,0.0001
27,0.222449,0.295194,0.865455,0.600796,0.0001
28,0.2049,0.22083,0.886509,0.670531,0.0001
29,0.202874,0.240262,0.891454,0.657735,0.0001
30,0.205307,0.285776,0.891446,0.659355,0.0001
31,0.195326,0.258397,0.864164,0.653375,0.0001
32,0.212487,0.235883,0.893229,0.721137,0.0001
33,0.188732,0.241822,0.892663,0.649015,0.0001
34,0.171302,0.224923,0.868724,0.649645,0.0001
35,0.208954,0.222412,0.90675,0.679053,0.0001
36,0.169125,0.236526,0.902392,0.690453,1e-05
37,0.181108,0.235666,0.87651,0.684612,1e-05
38,0.195669,0.23748,0.874173,0.685093,1e-05
39,0.172998,0.249628,0.90628,0.695498,1e-05
40,0.165421,0.245823,0.903455,0.685677,1e-05
41,0.171519,0.241988,0.90641,0.672059,1e-05
42,0.174576,0.262547,0.898377,0.68733,1e-05
43,0.172236,0.256359,0.891019,0.674805,1e-05
44,0.163639,0.248271,0.882387,0.694402,1e-05
45,0.172341,0.254576,0.890122,0.682645,1e-05
46,0.179561,0.255733,0.89277,0.681164,1e-05
47,0.159491,0.252716,0.889112,0.686134,1e-05
48,0.166765,0.259152,0.888284,0.672177,1e-05
49,0.168917,0.251249,0.893022,0.700885,1e-05
50,0.175271,0.248402,0.886646,0.677157,1e-05
