epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.498844,0.401179,0.643947,0.441425,0.001
2,0.446627,0.35266,0.714243,0.472913,0.001
3,0.424481,0.331327,0.690204,0.505209,0.001
4,0.411109,0.318427,0.776709,0.476527,0.001
5,0.382974,0.327538,0.726555,0.508729,0.001
6,0.37862,0.243115,0.849622,0.587253,0.0001
7,0.330658,0.229605,0.846613,0.600207,0.0001
8,0.336272,0.229487,0.884401,0.585051,0.0001
9,0.33405,0.201338,0.873671,0.586601,0.0001
10,0.305996,0.23951,0.815072,0.619573,0.0001
11,0.313739,0.209203,0.873993,0.657832,0.0001
12,0.309327,0.193152,0.878583,0.636792,0.0001
13,0.291443,0.196358,0.872919,0.616195,0.0001
14,0.303193,0.223898,0.899487,0.610598,0.0001
15,0.275706,0.225208,0.894617,0.576507,0.0001
16,0.262484,0.204431,0.880142,0.648536,0.0001
17,0.27305,0.230593,0.87699,0.638973,0.0001
18,0.282583,0.215065,0.878139,0.657997,0.0001
19,0.279288,0.192266,0.902989,0.684127,0.0001
20,0.250115,0.227098,0.910006,0.628526,0.0001
21,0.257789,0.254097,0.863797,0.635877,0.0001
22,0.266046,0.267383,0.846175,0.645839,0.0001
23,0.249281,0.200534,0.870695,0.692201,0.0001
24,0.250616,0.225116,0.909207,0.637905,0.0001
25,0.269325,0.258431,0.892917,0.719217,0.0001
26,0.244882,0.209382,0.90369,0.671109,0.0001
27,0.260033,0.210952,0.890643,0.663395,0.0001
28,0.255267,0.261432,0.876283,0.651681,0.0001
29,0.233667,0.238606,0.891926,0.654542,0.0001
30,0.243503,0.206081,0.898135,0.672959,0.0001
31,0.21574,0.232371,0.908381,0.694362,0.0001
32,0.22836,0.245111,0.897962,0.651285,0.0001
33,0.244785,0.217319,0.889203,0.625424,0.0001
34,0.217391,0.226036,0.910422,0.680694,0.0001
35,0.233639,0.227306,0.879765,0.678087,0.0001
36,0.196325,0.228099,0.90069,0.686686,1e-05
37,0.196396,0.225583,0.899705,0.692129,1e-05
38,0.189173,0.231105,0.912331,0.725679,1e-05
39,0.21571,0.230305,0.903994,0.706086,1e-05
40,0.187505,0.2308,0.903545,0.704656,1e-05
41,0.180001,0.242002,0.899303,0.701343,1e-05
42,0.194466,0.234969,0.899128,0.701626,1e-05
43,0.184098,0.24786,0.902795,0.708467,1e-05
44,0.186484,0.244539,0.901292,0.708427,1e-05
45,0.185964,0.248131,0.903116,0.704487,1e-05
46,0.188665,0.244011,0.908062,0.704151,1e-05
47,0.180133,0.242024,0.903014,0.704301,1e-05
48,0.204287,0.248094,0.905382,0.719229,1e-05
49,0.206889,0.248823,0.898354,0.691818,1e-05
50,0.184344,0.253013,0.908586,0.700505,1e-05
