epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.54955,0.31886,0.606747,0.330858,0.001
2,0.443155,0.301983,0.661786,0.391956,0.001
3,0.41724,0.266876,0.72504,0.43089,0.001
4,0.39584,0.289116,0.693678,0.427047,0.001
5,0.407604,0.250025,0.767387,0.427452,0.001
6,0.340974,0.219038,0.788635,0.432375,0.0001
7,0.343851,0.157442,0.866026,0.513226,0.0001
8,0.322935,0.154713,0.849915,0.503745,0.0001
9,0.296224,0.138992,0.885352,0.54884,0.0001
10,0.307717,0.140668,0.880177,0.533029,0.0001
11,0.308878,0.129658,0.911871,0.587941,0.0001
12,0.287651,0.138294,0.903521,0.6234,0.0001
13,0.283661,0.124463,0.905847,0.636824,0.0001
14,0.295314,0.149111,0.864584,0.566238,0.0001
15,0.27054,0.132528,0.900279,0.590932,0.0001
16,0.285109,0.116092,0.908229,0.635758,0.0001
17,0.28519,0.115852,0.919339,0.633661,0.0001
18,0.270686,0.117185,0.915063,0.636881,0.0001
19,0.285771,0.144057,0.880329,0.622211,0.0001
20,0.292014,0.119795,0.924387,0.654317,0.0001
21,0.248945,0.118284,0.899076,0.622082,0.0001
22,0.252467,0.107326,0.916043,0.637463,0.0001
23,0.288947,0.134317,0.884847,0.574768,0.0001
24,0.269768,0.131544,0.900086,0.609673,0.0001
25,0.258439,0.114635,0.912464,0.61648,0.0001
26,0.257213,0.11936,0.91111,0.592358,0.0001
27,0.258696,0.122347,0.904143,0.637601,0.0001
28,0.263305,0.121285,0.908627,0.606209,0.0001
29,0.273119,0.150431,0.857231,0.567706,0.0001
30,0.267626,0.146481,0.900441,0.564734,0.0001
31,0.275932,0.127454,0.913041,0.614978,0.0001
32,0.254484,0.11516,0.913558,0.637239,0.0001
33,0.24847,0.118573,0.9216,0.6365,0.0001
34,0.245703,0.134576,0.89889,0.575714,0.0001
35,0.25755,0.119621,0.907358,0.62653,0.0001
36,0.251777,0.114513,0.911066,0.624285,1e-05
37,0.247962,0.114394,0.914337,0.637209,1e-05
38,0.261238,0.119686,0.918237,0.633323,1e-05
39,0.223116,0.116452,0.913658,0.631154,1e-05
40,0.222129,0.115203,0.911661,0.636587,1e-05
41,0.233514,0.114808,0.911009,0.630393,1e-05
42,0.243094,0.116547,0.915647,0.651065,1e-05
43,0.244657,0.11544,0.904966,0.606818,1e-05
44,0.28338,0.115148,0.914393,0.631379,1e-05
45,0.251558,0.116244,0.913852,0.630002,1e-05
46,0.234495,0.116801,0.913162,0.628747,1e-05
47,0.231378,0.114282,0.914961,0.621867,1e-05
48,0.241122,0.117267,0.911473,0.614989,1e-05
49,0.246005,0.115008,0.906964,0.605331,1e-05
50,0.242226,0.117926,0.905903,0.616067,1e-05
