epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.588413,0.427696,0.737582,0.372578,0.001
2,0.425797,0.384976,0.725419,0.484463,0.001
3,0.426008,0.410557,0.68959,0.422519,0.001
4,0.367169,0.633893,0.780381,0.315171,0.001
5,0.374173,0.341161,0.767226,0.535584,0.001
6,0.271614,0.251807,0.821968,0.55693,0.0001
7,0.238058,0.235327,0.862964,0.608066,0.0001
8,0.210374,0.229497,0.858101,0.627727,0.0001
9,0.1958,0.234965,0.791454,0.497831,0.0001
10,0.182291,0.201117,0.887053,0.640959,0.0001
11,0.167975,0.2047,0.869741,0.647412,0.0001
12,0.164516,0.221146,0.889131,0.684386,0.0001
13,0.148057,0.260473,0.896878,0.563911,0.0001
14,0.130293,0.211279,0.869848,0.626825,0.0001
15,0.125383,0.193672,0.906527,0.653029,0.0001
16,0.115633,0.225793,0.880019,0.683832,0.0001
17,0.113615,0.222137,0.901679,0.656463,0.0001
18,0.115369,0.240399,0.905956,0.663597,0.0001
19,0.105155,0.239529,0.890518,0.657337,0.0001
20,0.103416,0.204194,0.903698,0.684785,0.0001
21,0.092577,0.209548,0.899325,0.673749,0.0001
22,0.081013,0.260404,0.895442,0.668193,0.0001
23,0.07653,0.247354,0.899223,0.690614,0.0001
24,0.084426,0.264,0.877259,0.690789,0.0001
25,0.070602,0.271064,0.885438,0.646885,0.0001
26,0.077556,0.245368,0.907671,0.694639,0.0001
27,0.065172,0.320982,0.889133,0.625213,0.0001
28,0.068002,0.274383,0.911186,0.667909,0.0001
29,0.067536,0.260373,0.889706,0.638193,0.0001
30,0.059615,0.276404,0.906965,0.669635,0.0001
31,0.061561,0.239217,0.890797,0.674888,0.0001
32,0.050234,0.323021,0.884922,0.68639,0.0001
33,0.046223,0.252966,0.90246,0.666734,0.0001
34,0.054736,0.265509,0.885909,0.675134,0.0001
35,0.046001,0.303967,0.896466,0.647662,0.0001
36,0.046912,0.294482,0.903005,0.688566,1e-05
37,0.038934,0.284313,0.896148,0.680183,1e-05
38,0.034472,0.28276,0.898061,0.695447,1e-05
39,0.033156,0.292307,0.903507,0.692961,1e-05
40,0.027048,0.286254,0.898208,0.694858,1e-05
41,0.02907,0.299857,0.908998,0.699112,1e-05
42,0.033146,0.286803,0.90521,0.694313,1e-05
43,0.029487,0.293987,0.90241,0.701257,1e-05
44,0.037314,0.28946,0.91117,0.703998,1e-05
45,0.024723,0.296229,0.904649,0.701027,1e-05
46,0.027827,0.282766,0.910116,0.712577,1e-05
47,0.024577,0.284245,0.912894,0.717591,1e-05
48,0.022665,0.314475,0.909367,0.707257,1e-05
49,0.026586,0.302181,0.906089,0.700122,1e-05
50,0.031062,0.30717,0.908514,0.696154,1e-05
