epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.59047,0.350314,0.708814,0.451647,0.001
2,0.479746,0.337783,0.763334,0.46454,0.001
3,0.400833,0.383131,0.775634,0.413742,0.001
4,0.416117,0.372844,0.752505,0.477879,0.001
5,0.357042,0.320996,0.776089,0.546494,0.001
6,0.269129,0.255986,0.850196,0.571786,0.0001
7,0.236163,0.228162,0.871666,0.577009,9.757729755661011e-05
8,0.203103,0.250317,0.844086,0.625009,9.05463412215599e-05
9,0.18587,0.212078,0.863686,0.627822,7.959536998847742e-05
10,0.167532,0.213092,0.887148,0.658149,6.57963412215599e-05
11,0.159517,0.241238,0.862414,0.557494,5.05e-05
12,0.144844,0.195591,0.899573,0.673256,3.5203658778440106e-05
13,0.138229,0.194189,0.893695,0.659658,2.1404630011522586e-05
14,0.131342,0.190801,0.896226,0.680105,1.0453658778440109e-05
15,0.135187,0.190831,0.890132,0.673453,3.4227024433899e-06
16,0.158303,0.219237,0.860903,0.658162,0.0001
17,0.157044,0.173091,0.889927,0.67915,9.939057285945933e-05
18,0.136007,0.200365,0.8767,0.64083,9.757729755661011e-05
19,0.130817,0.199239,0.885558,0.647448,9.460482294732421e-05
20,0.116129,0.203025,0.896491,0.622319,9.05463412215599e-05
21,0.104897,0.185935,0.901021,0.681156,8.55017856687341e-05
22,0.099667,0.195789,0.889029,0.661832,7.959536998847742e-05
23,0.10005,0.216606,0.907108,0.655434,7.297252973710757e-05
24,0.082642,0.226162,0.898059,0.687819,6.57963412215599e-05
25,0.076878,0.230945,0.873682,0.644248,5.8243506019491436e-05
26,0.076063,0.239226,0.886368,0.657251,5.05e-05
27,0.068863,0.220318,0.897909,0.679126,4.2756493980508586e-05
28,0.055949,0.22712,0.893724,0.652978,3.5203658778440106e-05
29,0.057726,0.230617,0.8953,0.661212,2.8027470262892437e-05
30,0.058127,0.247712,0.894572,0.684461,2.1404630011522586e-05
31,0.055545,0.254635,0.899474,0.677844,1.54982143312659e-05
32,0.050652,0.236063,0.898792,0.682987,1.0453658778440109e-05
33,0.049463,0.245006,0.903588,0.690749,6.395177052675795e-06
34,0.048622,0.247654,0.903143,0.686863,3.4227024433899e-06
35,0.044913,0.248879,0.901975,0.689273,1.6094271405406859e-06
36,0.063807,0.272794,0.859827,0.605673,0.0001
37,0.079206,0.272096,0.901478,0.653774,9.984740801978984e-05
38,0.077961,0.266824,0.87843,0.621859,9.939057285945933e-05
39,0.082268,0.258765,0.885572,0.671418,9.8632311059685e-05
40,0.073721,0.192076,0.881126,0.634882,9.757729755661011e-05
41,0.060495,0.26978,0.893176,0.666623,9.623203685930869e-05
42,0.067049,0.260385,0.890859,0.673285,9.460482294732421e-05
43,0.055308,0.324617,0.88646,0.650412,9.270568813552756e-05
44,0.049793,0.338774,0.893499,0.661216,9.05463412215599e-05
45,0.048958,0.281946,0.891882,0.691287,8.814009529720155e-05
46,0.047719,0.349799,0.895958,0.628104,8.55017856687341e-05
47,0.048997,0.290901,0.889467,0.673082,8.26476783923441e-05
48,0.045924,0.295074,0.898846,0.660021,7.959536998847742e-05
49,0.042882,0.350217,0.884557,0.665075,7.636367895343946e-05
50,0.04046,0.369807,0.900187,0.662827,7.297252973710757e-05
