epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.925006,0.517812,0.618216,0.368622,0.001
2,0.664839,0.435631,0.715025,0.376873,0.001
3,0.6699,0.564723,0.718161,0.315299,0.001
4,0.586161,0.366395,0.704628,0.400646,0.001
5,0.631308,0.531926,0.783369,0.342097,0.001
6,0.43254,0.289634,0.847409,0.481324,0.0001
7,0.362005,0.291828,0.790503,0.511703,0.0001
8,0.299513,0.281779,0.843791,0.441257,0.0001
9,0.267054,0.232863,0.88645,0.581113,0.0001
10,0.220394,0.254464,0.874889,0.57178,0.0001
11,0.17789,0.277051,0.886508,0.623979,0.0001
12,0.171717,0.275247,0.850442,0.621759,0.0001
13,0.169404,0.293611,0.870929,0.65001,0.0001
14,0.14325,0.338423,0.817903,0.571213,0.0001
15,0.141027,0.276504,0.877164,0.618266,0.0001
16,0.112016,0.275125,0.900631,0.671496,0.0001
17,0.113533,0.262651,0.889696,0.60978,0.0001
18,0.097276,0.265241,0.852418,0.620485,0.0001
19,0.098426,0.29598,0.856142,0.614376,0.0001
20,0.091823,0.267297,0.886049,0.641398,0.0001
21,0.084127,0.279678,0.867803,0.637106,0.0001
22,0.086645,0.350085,0.871371,0.661238,0.0001
23,0.080453,0.33347,0.888664,0.667252,0.0001
24,0.084973,0.363194,0.845979,0.598133,0.0001
25,0.067986,0.315536,0.872158,0.626427,0.0001
26,0.06772,0.353952,0.892204,0.649772,0.0001
27,0.065259,0.403337,0.8678,0.64698,0.0001
28,0.054334,0.352146,0.874494,0.65303,0.0001
29,0.058952,0.344387,0.895202,0.63444,0.0001
30,0.066948,0.35441,0.879034,0.640038,0.0001
31,0.060133,0.476246,0.895359,0.655332,0.0001
32,0.065697,0.401498,0.878977,0.642774,0.0001
33,0.058819,0.411881,0.881119,0.666071,0.0001
34,0.058013,0.355268,0.900004,0.670031,0.0001
35,0.045327,0.338965,0.892956,0.668034,0.0001
36,0.043177,0.37524,0.906661,0.679916,1e-05
37,0.031701,0.387252,0.902896,0.676833,1e-05
38,0.034893,0.375592,0.89968,0.677756,1e-05
39,0.037479,0.38166,0.899163,0.668487,1e-05
40,0.033594,0.382744,0.902042,0.675829,1e-05
41,0.037556,0.382605,0.896571,0.67699,1e-05
42,0.027484,0.406689,0.889619,0.655582,1e-05
43,0.034055,0.39764,0.898161,0.663319,1e-05
44,0.029968,0.39735,0.901741,0.665971,1e-05
45,0.030473,0.390431,0.899959,0.678767,1e-05
46,0.032143,0.38512,0.902432,0.68734,1e-05
47,0.026117,0.404733,0.90263,0.684154,1e-05
48,0.033075,0.420617,0.90431,0.678114,1e-05
49,0.026535,0.390027,0.900357,0.675856,1e-05
50,0.024881,0.401185,0.906133,0.675651,1e-05
