epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.702713,0.325995,0.776698,0.540218,0.001
2,0.541926,0.371918,0.716008,0.479426,0.001
3,0.509879,0.382085,0.769797,0.550726,0.001
4,0.501897,0.377485,0.752491,0.529709,0.001
5,0.499785,0.414435,0.806473,0.39687,0.001
6,0.393426,0.220067,0.819329,0.607949,0.0001
7,0.313951,0.191912,0.87572,0.667409,0.0001
8,0.256834,0.177457,0.888523,0.630081,0.0001
9,0.226152,0.217738,0.857313,0.631622,0.0001
10,0.200999,0.167339,0.906571,0.758493,0.0001
11,0.168019,0.163187,0.911359,0.711565,0.0001
12,0.154995,0.147472,0.901956,0.740576,0.0001
13,0.124018,0.140525,0.908205,0.750591,0.0001
14,0.132063,0.163079,0.915181,0.716734,0.0001
15,0.121447,0.159448,0.915216,0.716342,0.0001
16,0.100253,0.122549,0.922415,0.733364,0.0001
17,0.090764,0.198417,0.92582,0.724098,0.0001
18,0.087859,0.138998,0.923163,0.742342,0.0001
19,0.078526,0.148881,0.908415,0.750096,0.0001
20,0.072715,0.131222,0.911637,0.742522,0.0001
21,0.07345,0.140634,0.931761,0.726173,0.0001
22,0.069309,0.139684,0.912576,0.760431,0.0001
23,0.064895,0.136041,0.918292,0.760358,0.0001
24,0.05966,0.109798,0.936565,0.771065,0.0001
25,0.048584,0.177399,0.93685,0.778763,0.0001
26,0.054098,0.101769,0.935864,0.781477,0.0001
27,0.044464,0.114178,0.94181,0.81159,0.0001
28,0.053036,0.125512,0.92156,0.757886,0.0001
29,0.04962,0.114809,0.932667,0.782593,0.0001
30,0.048586,0.176671,0.935052,0.737414,0.0001
31,0.050974,0.114961,0.940659,0.811164,0.0001
32,0.045138,0.125319,0.927299,0.781108,0.0001
33,0.05244,0.129006,0.923126,0.781792,0.0001
34,0.040307,0.100498,0.928967,0.801813,0.0001
35,0.044992,0.142323,0.907284,0.745491,0.0001
36,0.033483,0.12078,0.934016,0.799136,1e-05
37,0.027043,0.123151,0.936606,0.820132,1e-05
38,0.021492,0.112,0.939775,0.822403,1e-05
39,0.022639,0.117932,0.932172,0.816717,1e-05
40,0.020577,0.122764,0.930273,0.807855,1e-05
41,0.020738,0.11321,0.940456,0.826414,1e-05
42,0.019361,0.112505,0.940207,0.832759,1e-05
43,0.017614,0.107505,0.945038,0.829111,1e-05
44,0.021054,0.110678,0.939411,0.832444,1e-05
45,0.017808,0.106017,0.943578,0.83033,1e-05
46,0.018876,0.107086,0.941321,0.830432,1e-05
47,0.017824,0.111086,0.944693,0.833654,1e-05
48,0.013355,0.111534,0.94092,0.830614,1e-05
49,0.016223,0.103187,0.939552,0.821062,1e-05
50,0.016496,0.110283,0.942297,0.83876,1e-05
