epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.670301,0.338711,0.703739,0.501863,0.001
2,0.529955,0.365308,0.792207,0.510111,0.001
3,0.510032,0.325831,0.717109,0.485524,0.001
4,0.458486,0.383877,0.740556,0.423307,0.001
5,0.492333,0.360262,0.69014,0.447032,0.001
6,0.385351,0.232375,0.85731,0.614007,0.0001
7,0.311469,0.18909,0.889138,0.631412,0.0001
8,0.25934,0.167646,0.905624,0.700151,0.0001
9,0.232146,0.171542,0.908299,0.685908,0.0001
10,0.200768,0.16568,0.906008,0.687866,0.0001
11,0.175052,0.157748,0.910509,0.676266,0.0001
12,0.167852,0.142214,0.890608,0.70557,0.0001
13,0.147724,0.133301,0.920808,0.741911,0.0001
14,0.122873,0.156233,0.895712,0.732503,0.0001
15,0.118796,0.137531,0.925961,0.715616,0.0001
16,0.102942,0.152285,0.902289,0.71909,0.0001
17,0.104011,0.205207,0.90744,0.738297,0.0001
18,0.092942,0.175963,0.919968,0.729612,0.0001
19,0.087867,0.144262,0.931958,0.760401,0.0001
20,0.085101,0.148829,0.926271,0.742403,0.0001
21,0.075838,0.101286,0.931357,0.770068,0.0001
22,0.067304,0.136043,0.922471,0.769411,0.0001
23,0.05874,0.131496,0.924594,0.76222,0.0001
24,0.062452,0.147025,0.931228,0.787848,0.0001
25,0.060192,0.190648,0.901763,0.712451,0.0001
26,0.057647,0.154717,0.928381,0.784148,0.0001
27,0.057996,0.126116,0.924931,0.783545,0.0001
28,0.051528,0.137569,0.941797,0.773594,0.0001
29,0.042498,0.142038,0.930148,0.75486,0.0001
30,0.052883,0.137338,0.939785,0.80078,0.0001
31,0.041616,0.188142,0.917754,0.754917,0.0001
32,0.05226,0.159213,0.925669,0.761973,0.0001
33,0.047047,0.181897,0.932547,0.772052,0.0001
34,0.043828,0.145044,0.926173,0.769171,0.0001
35,0.042352,0.147862,0.935278,0.745409,0.0001
36,0.033988,0.126366,0.945154,0.795418,1e-05
37,0.023817,0.125839,0.9355,0.795822,1e-05
38,0.021793,0.133631,0.940173,0.799354,1e-05
39,0.020985,0.125206,0.935175,0.806284,1e-05
40,0.020389,0.136019,0.936438,0.816263,1e-05
41,0.019245,0.128773,0.942055,0.812131,1e-05
42,0.019959,0.134532,0.93998,0.808212,1e-05
43,0.016172,0.138275,0.938769,0.81646,1e-05
44,0.019444,0.133942,0.938995,0.811379,1e-05
45,0.015703,0.141389,0.930678,0.795206,1e-05
46,0.016199,0.136324,0.937641,0.820389,1e-05
47,0.017591,0.13967,0.93611,0.819047,1e-05
48,0.014759,0.143815,0.933492,0.804784,1e-05
49,0.013737,0.144491,0.937228,0.817058,1e-05
50,0.013914,0.133111,0.941062,0.814457,1e-05
