epoch,contrastive_loss,lr
1,5.577071,0.0009972636867364526
2,5.276682,0.000989084726566536
3,5.048706,0.0009755527298894295
4,4.770742,0.0009568159560924792
5,4.535707,0.0009330796891903274
6,4.360989,0.0009046039886902865
7,4.251563,0.0008717008403259585
8,4.131106,0.0008347307378762498
9,4.06858,0.0007940987335200904
10,4.062643,0.00075025
11,4.055243,0.0007036649532163624
12,4.053403,0.0006548539886902864
13,4.04968,0.0006043518895634709
14,4.047666,0.0005527119674021931
15,4.04715,0.0005005000000000002
16,4.045745,0.00044828803259780724
17,4.044119,0.0003966481104365292
18,4.03808,0.00034614601130971383
19,4.040751,0.0002973350467836379
20,4.037641,0.00025075000000000016
21,4.035869,0.00020690126647990976
22,4.035388,0.0001662692621237505
23,4.034792,0.0001292991596740417
24,4.031264,9.639601130971383e-05
25,4.029758,6.792031080967288e-05
26,4.028632,4.418404390752082e-05
27,4.025331,2.5447270110570814e-05
28,4.025493,1.1915273433464061e-05
29,4.024942,3.736313263547436e-06
30,4.023263,1e-06
