epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.454796,0.234142,0.829123,0.562548,0.001
2,0.396253,0.309399,0.789411,0.51116,0.001
3,0.351181,0.194386,0.88992,0.631425,0.0001
4,0.326745,0.193004,0.880483,0.617535,0.0001
5,0.310219,0.184498,0.885779,0.623129,0.0001
6,0.31213,0.194487,0.878761,0.61327,0.0001
7,0.298731,0.178193,0.875419,0.641691,0.0001
8,0.28216,0.175105,0.87902,0.647097,0.0001
9,0.286066,0.171082,0.907452,0.661797,0.0001
10,0.273459,0.169146,0.905612,0.695601,0.0001
11,0.276212,0.158627,0.917036,0.677164,0.0001
12,0.263537,0.16076,0.916197,0.672205,0.0001
13,0.250818,0.173033,0.878615,0.669979,0.0001
14,0.236242,0.171823,0.877164,0.619501,0.0001
15,0.248043,0.145476,0.889384,0.689302,0.0001
16,0.237663,0.154751,0.889192,0.682672,0.0001
17,0.230831,0.155569,0.912551,0.637273,0.0001
18,0.233186,0.165709,0.894518,0.626044,0.0001
19,0.225138,0.156535,0.885444,0.658024,0.0001
20,0.210995,0.164974,0.914548,0.677963,0.0001
21,0.2029,0.161138,0.898361,0.711167,0.0001
22,0.208615,0.162649,0.8826,0.688298,0.0001
23,0.198941,0.146428,0.911887,0.688415,0.0001
24,0.183229,0.153086,0.91571,0.71839,0.0001
25,0.183045,0.158345,0.9161,0.64287,0.0001
26,0.180018,0.162876,0.907332,0.690979,0.0001
27,0.16566,0.188019,0.904857,0.70661,0.0001
28,0.168719,0.160264,0.919874,0.713393,0.0001
29,0.16758,0.137182,0.916019,0.708392,0.0001
30,0.163506,0.134252,0.915307,0.697587,0.0001
31,0.155411,0.153149,0.912873,0.708784,0.0001
32,0.152745,0.136528,0.919088,0.717758,0.0001
33,0.125522,0.127732,0.923456,0.754611,1e-05
34,0.120195,0.135795,0.924673,0.73749,1e-05
35,0.112597,0.13677,0.910171,0.719177,1e-05
36,0.112988,0.126676,0.918645,0.725062,1e-05
37,0.115734,0.129888,0.915412,0.701632,1e-05
38,0.111046,0.133705,0.922652,0.733278,1e-05
39,0.110397,0.131748,0.926542,0.735028,1e-05
40,0.105074,0.133876,0.922759,0.746112,1e-05
41,0.105484,0.135353,0.918492,0.729814,1e-05
42,0.09885,0.134538,0.916429,0.735124,1e-05
43,0.102235,0.126907,0.915272,0.725025,1e-05
44,0.101931,0.127931,0.915052,0.734037,1e-05
45,0.095132,0.133465,0.91777,0.726609,1e-05
46,0.095491,0.134376,0.914776,0.731505,1e-05
47,0.096938,0.135088,0.912488,0.737229,1e-05
48,0.091489,0.133119,0.917854,0.732102,1e-05
49,0.09505,0.127911,0.917801,0.739241,1e-05
50,0.091353,0.138607,0.919837,0.726323,1e-05
51,0.092546,0.132238,0.921865,0.746283,1e-05
52,0.091867,0.127983,0.914145,0.737239,1e-05
53,0.0963,0.133045,0.913921,0.73257,1e-05
54,0.089934,0.13088,0.912435,0.733023,1e-05
55,0.091666,0.133442,0.909874,0.724258,1e-05
56,0.083089,0.136068,0.921075,0.743857,1e-05
57,0.086935,0.135305,0.921673,0.750846,1e-05
58,0.08442,0.133173,0.926909,0.746766,1e-05
59,0.080161,0.131695,0.924517,0.751701,1e-05
60,0.081248,0.135933,0.920735,0.750628,1e-05
