epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.582387,0.341075,0.769892,0.348664,0.001
2,0.430938,0.314232,0.847433,0.399929,0.001
3,0.429665,0.254535,0.840165,0.49011,0.001
4,0.425973,0.225208,0.871061,0.574464,0.001
5,0.388648,0.218475,0.871362,0.553771,0.001
6,0.378799,0.227895,0.866076,0.521953,0.0001
7,0.364099,0.243243,0.847309,0.498783,0.0001
8,0.367244,0.251014,0.824938,0.498744,0.0001
9,0.337573,0.2076,0.865536,0.576576,0.0001
10,0.325737,0.228958,0.86969,0.555755,0.0001
11,0.312008,0.240186,0.846195,0.558183,0.0001
12,0.302614,0.238335,0.845392,0.571086,0.0001
13,0.321268,0.200216,0.875187,0.591188,0.0001
14,0.288074,0.211925,0.857014,0.560775,0.0001
15,0.286594,0.202515,0.872234,0.58185,0.0001
16,0.275954,0.190245,0.876077,0.640852,0.0001
17,0.279204,0.199822,0.858445,0.61606,0.0001
18,0.282696,0.217536,0.854158,0.602485,0.0001
19,0.270806,0.249616,0.856378,0.534054,0.0001
20,0.2602,0.216679,0.848868,0.56074,0.0001
21,0.251761,0.20505,0.854364,0.591565,0.0001
22,0.243812,0.217498,0.876632,0.570551,0.0001
23,0.260386,0.225003,0.84632,0.548444,0.0001
24,0.248781,0.227758,0.84038,0.573936,0.0001
25,0.231015,0.223452,0.86943,0.624717,0.0001
26,0.229654,0.219808,0.87865,0.598566,0.0001
27,0.223652,0.23775,0.877714,0.628149,0.0001
28,0.215477,0.23057,0.866132,0.622445,0.0001
29,0.226487,0.194329,0.868542,0.576926,0.0001
30,0.226346,0.257294,0.838254,0.583722,0.0001
31,0.230176,0.203923,0.875029,0.657981,0.0001
32,0.209266,0.244332,0.858216,0.578735,0.0001
33,0.199871,0.216912,0.879231,0.59352,0.0001
34,0.194814,0.230451,0.871675,0.597994,0.0001
35,0.186532,0.227138,0.876576,0.654694,0.0001
36,0.173887,0.226947,0.886172,0.655216,1e-05
37,0.166901,0.217281,0.894976,0.659694,1e-05
38,0.169756,0.223949,0.875682,0.628783,1e-05
39,0.168288,0.222096,0.883149,0.650616,1e-05
40,0.162607,0.210368,0.884974,0.649313,1e-05
41,0.167449,0.216426,0.88519,0.645011,1e-05
42,0.144252,0.215708,0.887137,0.644878,1e-05
43,0.164366,0.218376,0.891639,0.656529,1e-05
44,0.159115,0.221162,0.883221,0.643094,1e-05
45,0.153798,0.223527,0.884788,0.64674,1e-05
46,0.148235,0.221243,0.886438,0.6345,1e-05
47,0.146588,0.225469,0.887899,0.632027,1e-05
48,0.142222,0.222925,0.885777,0.639647,1e-05
49,0.153873,0.221674,0.892945,0.676355,1e-05
50,0.141958,0.231153,0.886952,0.659445,1e-05
51,0.131905,0.222193,0.8911,0.645232,1e-05
52,0.147395,0.221034,0.887653,0.647658,1e-05
53,0.139702,0.228753,0.886705,0.64207,1e-05
54,0.1371,0.232573,0.89013,0.668414,1e-05
55,0.148436,0.23332,0.882262,0.673261,1e-05
56,0.138744,0.23319,0.881804,0.636111,1e-05
57,0.129979,0.238013,0.874074,0.620625,1e-05
58,0.134903,0.237571,0.879607,0.635021,1e-05
59,0.144775,0.226545,0.88377,0.655035,1e-05
60,0.129787,0.248106,0.886731,0.660132,1e-05
