epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.584765,0.410504,0.621589,0.36027,0.001
2,0.425427,0.388604,0.7034,0.428232,0.001
3,0.379092,0.453755,0.645894,0.470491,0.001
4,0.387448,0.401779,0.741524,0.484002,0.001
5,0.368898,0.38457,0.786877,0.503338,0.001
6,0.292741,0.277899,0.836709,0.578601,0.0001
7,0.236663,0.282665,0.866246,0.575096,9.757729755661011e-05
8,0.211558,0.236957,0.864605,0.624535,9.05463412215599e-05
9,0.19711,0.22042,0.902154,0.640487,7.959536998847742e-05
10,0.176844,0.197227,0.885795,0.669285,6.57963412215599e-05
11,0.171361,0.208977,0.879201,0.659098,5.05e-05
12,0.154047,0.201234,0.89373,0.66721,3.5203658778440106e-05
13,0.137526,0.197888,0.884728,0.650758,2.1404630011522586e-05
14,0.134485,0.197761,0.896401,0.668671,1.0453658778440109e-05
15,0.125703,0.201191,0.892156,0.663999,3.4227024433899e-06
16,0.154483,0.202791,0.887238,0.655207,0.0001
17,0.151765,0.191583,0.902346,0.658857,9.939057285945933e-05
18,0.135476,0.263113,0.866638,0.604043,9.757729755661011e-05
19,0.129473,0.233685,0.907756,0.721744,9.460482294732421e-05
20,0.122897,0.247897,0.868891,0.668739,9.05463412215599e-05
21,0.12377,0.200783,0.909648,0.684913,8.55017856687341e-05
22,0.102713,0.202762,0.901953,0.691336,7.959536998847742e-05
23,0.096094,0.204069,0.910659,0.669359,7.297252973710757e-05
24,0.085312,0.243463,0.900525,0.68156,6.57963412215599e-05
25,0.078441,0.244453,0.902161,0.671904,5.8243506019491436e-05
26,0.074316,0.260941,0.905942,0.699852,5.05e-05
27,0.074566,0.249598,0.907252,0.697007,4.2756493980508586e-05
28,0.064668,0.256096,0.899051,0.674676,3.5203658778440106e-05
29,0.056862,0.232477,0.896482,0.683528,2.8027470262892437e-05
30,0.05733,0.226731,0.90669,0.68307,2.1404630011522586e-05
31,0.056222,0.232728,0.900222,0.68022,1.54982143312659e-05
32,0.05018,0.248927,0.914173,0.698184,1.0453658778440109e-05
33,0.04542,0.241653,0.909487,0.684033,6.395177052675795e-06
34,0.048312,0.247101,0.908207,0.687468,3.4227024433899e-06
35,0.045811,0.244434,0.909644,0.685956,1.6094271405406859e-06
36,0.081213,0.277456,0.877594,0.632811,0.0001
37,0.080571,0.263415,0.908094,0.662431,9.984740801978984e-05
38,0.081069,0.299524,0.87201,0.595043,9.939057285945933e-05
39,0.085967,0.241384,0.88039,0.668873,9.8632311059685e-05
40,0.075366,0.305454,0.870175,0.640198,9.757729755661011e-05
41,0.070589,0.259322,0.907139,0.704575,9.623203685930869e-05
42,0.063212,0.330777,0.885885,0.690928,9.460482294732421e-05
43,0.066708,0.230343,0.902287,0.681623,9.270568813552756e-05
44,0.067273,0.284504,0.900246,0.642572,9.05463412215599e-05
45,0.058614,0.273126,0.894537,0.668122,8.814009529720155e-05
46,0.047835,0.346969,0.900361,0.613247,8.55017856687341e-05
47,0.050255,0.273824,0.900636,0.657222,8.26476783923441e-05
48,0.046448,0.343225,0.890506,0.663429,7.959536998847742e-05
49,0.044637,0.295675,0.891041,0.671588,7.636367895343946e-05
50,0.040177,0.287822,0.888533,0.651024,7.297252973710757e-05
