epoch,contrastive_loss,lr
1,4.879705,0.0009938503261272714
2,4.151985,0.0009755527298894295
3,4.114371,0.0009455577588320899
4,4.093696,0.0009046039886902865
5,4.088093,0.0008536998372026806
6,4.087395,0.0007940987335200905
7,4.082556,0.0007272682546199038
8,4.080384,0.0006548539886902865
9,4.086118,0.0005786390152875956
10,4.077388,0.0005005000000000002
11,4.077098,0.000422360984712405
12,4.074113,0.00034614601130971394
13,4.070831,0.0002737317453800965
14,4.067553,0.00020690126647990978
15,4.064603,0.00014730016279731957
16,4.064005,9.639601130971382e-05
17,4.059864,5.54422411679103e-05
18,4.058058,2.5447270110570818e-05
19,4.055582,7.149673872728741e-06
20,4.058134,1e-06
