epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.522486,0.245386,0.852733,0.555801,0.001
2,0.414861,0.230516,0.857246,0.581863,0.001
3,0.351292,0.186235,0.894049,0.66656,0.0001
4,0.321498,0.186628,0.896293,0.639296,0.0001
5,0.302127,0.173146,0.898729,0.639134,0.0001
6,0.295565,0.173605,0.906349,0.636453,0.0001
7,0.294877,0.175679,0.891633,0.664535,0.0001
8,0.277192,0.172928,0.89844,0.609945,0.0001
9,0.270641,0.15531,0.915988,0.722949,0.0001
10,0.261345,0.160159,0.90299,0.68793,0.0001
11,0.26198,0.158437,0.902591,0.693432,0.0001
12,0.2564,0.192432,0.889653,0.675592,0.0001
13,0.2435,0.163291,0.906095,0.703008,0.0001
14,0.239694,0.150704,0.906381,0.699857,0.0001
15,0.235831,0.184088,0.894946,0.666473,0.0001
16,0.229406,0.16396,0.897001,0.690716,0.0001
17,0.235367,0.170715,0.895386,0.619251,0.0001
18,0.215704,0.150721,0.91398,0.69974,0.0001
19,0.213436,0.18544,0.89056,0.655536,0.0001
20,0.218387,0.155096,0.906462,0.709561,0.0001
21,0.214064,0.147855,0.891361,0.702065,0.0001
22,0.210115,0.155442,0.899078,0.676824,0.0001
23,0.207073,0.140791,0.886835,0.67275,0.0001
24,0.201988,0.150107,0.911071,0.675924,0.0001
25,0.198595,0.149627,0.911266,0.698465,0.0001
26,0.194113,0.153602,0.890251,0.672329,0.0001
27,0.194538,0.162104,0.903144,0.706796,0.0001
28,0.186751,0.151293,0.911009,0.69923,0.0001
29,0.185397,0.138325,0.917561,0.682873,0.0001
30,0.183056,0.144287,0.897693,0.693921,0.0001
31,0.175226,0.165431,0.897367,0.677264,0.0001
32,0.176808,0.144237,0.907915,0.696895,0.0001
33,0.164897,0.142467,0.915866,0.70705,1e-05
34,0.154347,0.144264,0.91069,0.724532,1e-05
35,0.150313,0.140664,0.91305,0.702947,1e-05
36,0.152877,0.142856,0.908911,0.704156,1e-05
37,0.148371,0.138986,0.912313,0.708337,1e-05
38,0.149003,0.136756,0.916326,0.721056,1e-05
39,0.143193,0.141839,0.912263,0.72448,1e-05
40,0.143835,0.135737,0.918641,0.720297,1e-05
41,0.144247,0.141633,0.909839,0.725682,1e-05
42,0.138995,0.13832,0.913408,0.715529,1e-05
43,0.144176,0.137605,0.907106,0.71155,1e-05
44,0.143873,0.141527,0.908303,0.722169,1e-05
45,0.142827,0.133755,0.914008,0.719678,1e-05
46,0.141169,0.138622,0.907813,0.719344,1e-05
47,0.143172,0.142055,0.910525,0.708757,1e-05
48,0.140697,0.136121,0.9191,0.71403,1e-05
49,0.145175,0.140766,0.916126,0.735476,1e-05
50,0.136608,0.135663,0.914388,0.730638,1e-05
51,0.14293,0.131873,0.913923,0.730283,1e-05
52,0.140736,0.131566,0.914023,0.717263,1e-05
53,0.135643,0.139433,0.910581,0.721529,1e-05
54,0.131814,0.141559,0.913084,0.734742,1e-05
55,0.139602,0.135561,0.910864,0.718498,1e-05
56,0.133697,0.133642,0.911566,0.723947,1e-05
57,0.134011,0.134292,0.916011,0.727387,1e-05
58,0.131594,0.136424,0.914901,0.724386,1e-05
59,0.134862,0.130198,0.917786,0.707228,1e-05
60,0.136698,0.134219,0.914036,0.725792,1e-05
