epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.512623,0.267505,0.864212,0.501204,0.001
2,0.420113,0.249078,0.86506,0.5688,0.001
3,0.424532,0.250899,0.860506,0.552677,0.001
4,0.413598,0.234229,0.879365,0.581663,0.001
5,0.406713,0.226855,0.881717,0.58907,0.001
6,0.416021,0.265891,0.785583,0.464845,0.001
7,0.389685,0.254582,0.869359,0.503655,0.001
8,0.350583,0.193308,0.90359,0.660483,0.0001
9,0.317801,0.190617,0.90059,0.61087,0.0001
10,0.307258,0.176263,0.902942,0.670674,0.0001
11,0.295631,0.178452,0.91012,0.657621,0.0001
12,0.279522,0.168106,0.910081,0.677326,0.0001
13,0.280076,0.175141,0.900415,0.703056,0.0001
14,0.265628,0.163926,0.885121,0.674084,0.0001
15,0.258539,0.216865,0.890645,0.677697,0.0001
16,0.258941,0.164605,0.922835,0.709135,0.0001
17,0.249922,0.173007,0.906034,0.670645,0.0001
18,0.24853,0.164385,0.898192,0.674876,0.0001
19,0.235541,0.173214,0.881052,0.652838,0.0001
20,0.239711,0.164538,0.902059,0.671779,0.0001
21,0.241616,0.156025,0.899768,0.678575,0.0001
22,0.233936,0.15233,0.893567,0.696466,0.0001
23,0.219509,0.163084,0.889294,0.684602,0.0001
24,0.220424,0.147402,0.904191,0.698996,0.0001
25,0.219217,0.146925,0.9176,0.69051,0.0001
26,0.214173,0.164431,0.894332,0.690669,0.0001
27,0.212897,0.147733,0.900004,0.677925,0.0001
28,0.201226,0.155312,0.91429,0.700022,0.0001
29,0.204127,0.169639,0.895197,0.661206,0.0001
30,0.190183,0.174875,0.906055,0.688952,0.0001
31,0.19514,0.146048,0.905527,0.686535,0.0001
32,0.185719,0.166257,0.896362,0.676693,0.0001
33,0.18604,0.141577,0.905833,0.710537,0.0001
34,0.184429,0.142416,0.929371,0.71893,0.0001
35,0.178899,0.144907,0.901879,0.729356,0.0001
36,0.1777,0.147079,0.905699,0.687539,0.0001
37,0.170037,0.158069,0.892986,0.680304,0.0001
38,0.159465,0.138873,0.905919,0.715011,1e-05
39,0.153231,0.139881,0.907911,0.712295,1e-05
40,0.152265,0.137431,0.906241,0.729694,1e-05
41,0.151084,0.141563,0.899173,0.71783,1e-05
42,0.149132,0.140537,0.90292,0.71021,1e-05
43,0.147431,0.140097,0.90052,0.71264,1e-05
44,0.143855,0.138826,0.902768,0.707313,1e-05
45,0.145971,0.137874,0.922439,0.727545,1e-05
46,0.147213,0.145232,0.916714,0.711332,1e-05
47,0.144135,0.139095,0.916142,0.710364,1e-05
48,0.144764,0.137507,0.916069,0.719118,1e-05
49,0.140017,0.132562,0.914175,0.744146,1e-05
50,0.136541,0.132985,0.913941,0.740552,1e-05
51,0.143817,0.134943,0.915066,0.730298,1e-05
52,0.134452,0.136466,0.914382,0.720302,1e-05
53,0.13768,0.137244,0.909949,0.725406,1e-05
54,0.138133,0.136494,0.916126,0.719465,1e-05
55,0.139087,0.139293,0.926517,0.739597,1e-05
56,0.135149,0.135613,0.917722,0.733231,1e-05
57,0.136703,0.139635,0.92498,0.725223,1e-05
58,0.133957,0.140193,0.916623,0.728907,1e-05
59,0.140335,0.141242,0.923282,0.726143,1e-05
60,0.131134,0.136283,0.921654,0.731686,1e-05
