epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,0.715186,0.339576,0.720733,0.420495,0.001
2,0.600092,0.333057,0.751167,0.454863,0.001
3,0.628494,0.340719,0.784718,0.509776,0.001
4,0.526509,0.290744,0.773487,0.573526,0.001
5,0.560674,0.297033,0.773774,0.474616,0.001
6,0.417985,0.210921,0.845138,0.650185,0.0001
7,0.341484,0.189797,0.854785,0.647773,9.99565800898935e-05
8,0.284615,0.202634,0.867808,0.658975,9.982639653285046e-05
9,0.253857,0.155956,0.891126,0.669333,9.960967771506666e-05
10,0.227027,0.154779,0.891911,0.656155,9.930680383498999e-05
11,0.201018,0.141997,0.900972,0.713389,9.891830623632337e-05
12,0.17925,0.118483,0.916731,0.726177,9.844486647586723e-05
13,0.152774,0.159715,0.906696,0.718493,9.788731512783732e-05
14,0.137557,0.142091,0.910844,0.726488,9.724663032675532e-05
15,0.134913,0.113262,0.931083,0.745058,9.652393605146844e-05
16,0.115092,0.135856,0.91364,0.73096,9.572050015330874e-05
17,0.108056,0.115128,0.934022,0.752515,9.483773213185094e-05
18,0.099654,0.102657,0.93888,0.779255,9.387718066217125e-05
19,0.093069,0.131393,0.923627,0.752011,9.28405308779451e-05
20,0.087293,0.121662,0.926807,0.745579,9.172960141514996e-05
21,0.083008,0.121775,0.922038,0.768304,9.054634122155993e-05
22,0.072975,0.109517,0.933535,0.79687,8.92928261376291e-05
23,0.073645,0.131396,0.920326,0.76695,8.797125525476198e-05
24,0.064417,0.097844,0.937239,0.784957,8.658394705735991e-05
25,0.060485,0.124996,0.934326,0.790956,8.513333535541164e-05
26,0.049721,0.10709,0.945001,0.799843,8.362196501476352e-05
27,0.05933,0.107226,0.947697,0.786052,8.205248749256017e-05
28,0.053387,0.108847,0.941637,0.785788,8.04276561856876e-05
29,0.054881,0.092355,0.941107,0.79982,7.87503216003794e-05
30,0.051787,0.108457,0.943349,0.804223,7.702342635146035e-05
31,0.050956,0.098757,0.940909,0.80287,7.525000000000001e-05
32,0.042389,0.114267,0.945491,0.800822,7.343315373843317e-05
33,0.047083,0.111565,0.944559,0.781053,7.157607493247111e-05
34,0.037834,0.108267,0.944072,0.80428,6.968202152937911e-05
35,0.032957,0.123998,0.9439,0.810971,6.775431634242987e-05
36,0.03487,0.116579,0.945531,0.789445,6.579634122155991e-05
37,0.034784,0.092125,0.952648,0.833462,6.381153112045566e-05
38,0.033743,0.13262,0.940352,0.787101,6.180336807047748e-05
39,0.02958,0.104282,0.947079,0.811986,5.977537507199339e-05
40,0.037534,0.090851,0.936122,0.800744,5.7731109913839396e-05
41,0.031824,0.101816,0.947339,0.811205,5.5674158931748874e-05
42,0.029048,0.116009,0.940646,0.80778,5.3608130716701026e-05
43,0.025547,0.123623,0.93608,0.796635,5.153664978422618e-05
44,0.023119,0.089311,0.950574,0.83779,4.946335021577385e-05
45,0.021307,0.109568,0.939478,0.822544,4.7391869283299e-05
46,0.02264,0.088972,0.947007,0.835093,4.532584106825117e-05
47,0.026148,0.096861,0.939927,0.818307,4.3268890086160646e-05
48,0.025108,0.110211,0.93905,0.811263,4.122462492800664e-05
49,0.017255,0.104116,0.939742,0.809794,3.9196631929522553e-05
50,0.020116,0.118435,0.949369,0.817564,3.7188468879544366e-05
51,0.017127,0.128185,0.936642,0.823631,3.520365877844011e-05
52,0.018936,0.110972,0.945753,0.824319,3.324568365757016e-05
53,0.01545,0.128923,0.948534,0.819282,3.131797847062091e-05
54,0.017456,0.120872,0.949568,0.823586,2.9423925067528912e-05
55,0.016881,0.120162,0.947045,0.817436,2.756684626156686e-05
56,0.012901,0.117014,0.95191,0.843909,2.5749999999999996e-05
57,0.016489,0.131747,0.94158,0.821555,2.3976573648539683e-05
58,0.015296,0.121424,0.947111,0.827263,2.2249678399620642e-05
59,0.013489,0.111544,0.951877,0.83015,2.057234381431245e-05
60,0.013211,0.107957,0.949733,0.819499,1.894751250743986e-05
61,0.011924,0.099106,0.957061,0.845598,1.7378034985236522e-05
62,0.013902,0.101614,0.954028,0.824503,1.5866664644588407e-05
63,0.010188,0.105318,0.953455,0.827037,1.441605294264014e-05
64,0.011463,0.117303,0.949812,0.826772,1.3028744745238064e-05
65,0.009868,0.114756,0.950512,0.824389,1.1707173862370933e-05
66,0.011965,0.116889,0.952028,0.819261,1.0453658778440105e-05
67,0.011398,0.119974,0.948294,0.819937,9.270398584850076e-06
68,0.008706,0.124662,0.943267,0.805665,8.159469122054922e-06
69,0.009286,0.128175,0.945857,0.813111,7.122819337828751e-06
70,0.009738,0.121014,0.947572,0.818354,6.162267868149071e-06
71,0.008982,0.119138,0.94991,0.821663,5.2794998466912616e-06
72,0.00775,0.122568,0.947317,0.829169,4.4760639485315575e-06
73,0.008049,0.123784,0.948519,0.824201,3.75336967324469e-06
74,0.007838,0.114202,0.955978,0.833355,3.112684872162671e-06
75,0.008521,0.118009,0.952585,0.826182,2.5551335241327618e-06
76,0.010354,0.116854,0.951224,0.825886,2.0816937636766237e-06
77,0.00881,0.121164,0.944218,0.813001,1.6931961650100031e-06
78,0.008235,0.116675,0.949846,0.821969,1.3903222849333505e-06
79,0.008762,0.115108,0.956499,0.834512,1.1736034671495336e-06
80,0.007534,0.120513,0.947504,0.818703,1.04341991010651e-06
