epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,1.321259,0.388555,0.707039,0.459249,0.001
2,1.136113,0.371338,0.741499,0.438773,0.001
3,1.108898,0.42846,0.703741,0.392526,0.001
4,1.058625,0.348158,0.745038,0.503759,0.001
5,1.00717,0.430424,0.759476,0.411624,0.001
6,1.012076,0.369227,0.799922,0.441766,0.001
7,1.008652,0.367033,0.819173,0.472206,0.001
8,0.815032,0.269672,0.82413,0.570915,5e-05
9,0.733888,0.21427,0.857062,0.629158,4.9977315820004635e-05
10,0.682837,0.199144,0.862282,0.608689,4.990930528589789e-05
11,0.671539,0.189472,0.885598,0.652265,4.97960943375326e-05
12,0.630878,0.186966,0.87288,0.6018,4.963789261552349e-05
13,0.614334,0.163523,0.876561,0.680364,4.9434993073040957e-05
14,0.594529,0.158823,0.875882,0.676231,4.9187771433329294e-05
15,0.572139,0.162966,0.898285,0.687636,4.889668549395375e-05
16,0.553846,0.1418,0.886841,0.672363,4.856227427906475e-05
17,0.532405,0.144392,0.912148,0.714981,4.818515704124932e-05
18,0.525591,0.137085,0.910757,0.727402,4.776603211481782e-05
19,0.508815,0.131302,0.92162,0.711403,4.730567562264958e-05
20,0.496328,0.135552,0.906818,0.702347,4.680494003899196e-05
21,0.489798,0.1187,0.918092,0.721176,4.6264752610874354e-05
22,0.487625,0.12576,0.914021,0.736546,4.568611364106007e-05
23,0.481713,0.114675,0.92899,0.734258,4.507009463571594e-05
24,0.465768,0.111016,0.933783,0.740521,4.441783632022952e-05
25,0.464477,0.128798,0.914473,0.740817,4.373054652684833e-05
26,0.453046,0.120666,0.927879,0.759936,4.300949795805254e-05
27,0.450433,0.115591,0.913951,0.723982,4.225602582980296e-05
28,0.4506,0.123436,0.925055,0.749554,4.147152539902845e-05
29,0.442179,0.12286,0.930489,0.772026,4.065744937993133e-05
30,0.441463,0.127782,0.929202,0.779054,3.981530525389503e-05
31,0.428785,0.124741,0.923085,0.759512,3.8946652477975616e-05
32,0.426893,0.10324,0.940782,0.796557,3.805309959714637e-05
33,0.425421,0.128875,0.930612,0.773784,3.713630126564272e-05
34,0.423558,0.157365,0.915053,0.735792,3.619795518292355e-05
35,0.420335,0.112938,0.926281,0.762086,3.523979894992261e-05
36,0.414059,0.112573,0.94035,0.798999,3.4263606851411564e-05
37,0.417334,0.103148,0.940611,0.806971,3.327118657043309e-05
38,0.410314,0.084008,0.948562,0.819282,3.226437584088799e-05
39,0.407086,0.137661,0.927614,0.782063,3.1245039044475033e-05
40,0.420397,0.142652,0.933411,0.781609,3.0215063758285328e-05
41,0.407634,0.129563,0.935073,0.7894,2.9176357259443982e-05
42,0.406113,0.126916,0.944393,0.800661,2.8130842993271986e-05
43,0.407463,0.122666,0.938652,0.788837,2.7080457011508242e-05
44,0.3976,0.117615,0.936526,0.793754,2.6027144387187434e-05
45,0.398699,0.146036,0.926119,0.770521,2.4972855612812545e-05
46,0.400724,0.111107,0.948584,0.816266,2.391954298849174e-05
47,0.403078,0.117731,0.942542,0.789508,2.2869157006727993e-05
48,0.392601,0.119168,0.94635,0.811475,2.1823642740555997e-05
49,0.393502,0.112487,0.939011,0.782194,2.078493624171466e-05
50,0.393051,0.156589,0.939656,0.787865,1.975496095552495e-05
51,0.392219,0.124452,0.943077,0.791835,1.8735624159112005e-05
52,0.392588,0.121005,0.943762,0.806683,1.77288134295669e-05
53,0.39143,0.11592,0.94811,0.82045,1.673639314858842e-05
54,0.388132,0.130656,0.946105,0.820851,1.5760201050077372e-05
55,0.389418,0.127284,0.948163,0.82355,1.4802044817076423e-05
56,0.388844,0.140459,0.926572,0.781782,1.3863698734357257e-05
57,0.390262,0.145486,0.937969,0.798887,1.2946900402853623e-05
58,0.390647,0.126927,0.940996,0.796711,1.205334752202437e-05
59,0.3878,0.137767,0.932528,0.780936,1.1184694746104967e-05
60,0.387946,0.138885,0.934829,0.780626,1.034255062006866e-05
61,0.386406,0.119475,0.942665,0.791097,9.528474600971537e-06
62,0.389345,0.107202,0.937329,0.797301,8.743974170197036e-06
63,0.384889,0.114034,0.948715,0.8234,7.990502041947453e-06
64,0.384255,0.12421,0.938895,0.793641,7.269453473151659e-06
65,0.388523,0.10498,0.944953,0.805775,6.58216367977048e-06
66,0.385345,0.128791,0.943362,0.804648,5.929905364284056e-06
67,0.381067,0.113091,0.948545,0.817831,5.313886358939919e-06
68,0.383914,0.126592,0.938906,0.800484,4.73524738912564e-06
69,0.382948,0.121363,0.939565,0.804649,4.195059961008028e-06
70,0.381641,0.128162,0.942886,0.803882,3.6943243773504194e-06
71,0.38094,0.126908,0.941015,0.798117,3.2339678851821766e-06
72,0.383866,0.120254,0.937447,0.802596,2.8148429587506786e-06
73,0.382817,0.130491,0.939417,0.792555,2.437725720935245e-06
74,0.383404,0.12615,0.940939,0.798542,2.1033145060462473e-06
75,0.381827,0.122925,0.951643,0.822203,1.8122285666707007e-06
76,0.382657,0.128245,0.94112,0.803857,1.5650069269590477e-06
77,0.381017,0.138725,0.937811,0.780591,1.3621073844765138e-06
78,0.384852,0.131164,0.94112,0.803857,1.2039056624673953e-06
79,0.380558,0.136317,0.944768,0.801586,1.0906947141021084e-06
80,0.381437,0.127598,0.940853,0.800916,1.0226841799953652e-06
