epoch,train_loss,val_loss,val_qwk,val_macro_f1,lr
1,1.306587,0.414842,0.677642,0.455275,0.001
2,1.140636,0.354209,0.750204,0.540471,0.001
3,1.083981,0.306003,0.787278,0.497991,0.001
4,1.149265,0.314524,0.739464,0.51136,0.001
5,0.991311,0.302402,0.779079,0.549259,0.001
6,0.854005,0.256115,0.842022,0.495579,0.0001
7,0.765925,0.200044,0.85931,0.681675,9.99565800898935e-05
8,0.716263,0.169124,0.876711,0.708816,9.982639653285046e-05
9,0.67939,0.165575,0.885941,0.681401,9.960967771506666e-05
10,0.634441,0.146195,0.906142,0.71944,9.930680383498999e-05
11,0.620321,0.146408,0.925701,0.692656,9.891830623632337e-05
12,0.580546,0.153861,0.895174,0.704914,9.844486647586723e-05
13,0.566142,0.129198,0.924944,0.725747,9.788731512783732e-05
14,0.54528,0.136893,0.882021,0.686041,9.724663032675532e-05
15,0.530874,0.128987,0.927517,0.730072,9.652393605146844e-05
16,0.516726,0.11527,0.909452,0.738672,9.572050015330874e-05
17,0.504434,0.118102,0.914014,0.742266,9.483773213185094e-05
18,0.498571,0.108958,0.913928,0.778373,9.387718066217125e-05
19,0.49068,0.128163,0.926458,0.770813,9.28405308779451e-05
20,0.47841,0.116655,0.925021,0.768562,9.172960141514996e-05
21,0.475032,0.099548,0.931543,0.765044,9.054634122155993e-05
22,0.467585,0.102857,0.92511,0.781025,8.92928261376291e-05
23,0.472883,0.102994,0.929799,0.775271,8.797125525476198e-05
24,0.469544,0.113487,0.937806,0.783612,8.658394705735991e-05
25,0.460171,0.18374,0.893803,0.719183,8.513333535541164e-05
26,0.454209,0.124925,0.915526,0.74597,8.362196501476352e-05
27,0.457765,0.112366,0.924999,0.777841,8.205248749256017e-05
28,0.447483,0.109674,0.934632,0.794078,8.04276561856876e-05
29,0.454378,0.100728,0.944483,0.806084,7.87503216003794e-05
30,0.451074,0.110326,0.925387,0.778986,7.702342635146035e-05
31,0.44546,0.121978,0.921403,0.777782,7.525000000000001e-05
32,0.444035,0.083874,0.947625,0.827448,7.343315373843317e-05
33,0.439128,0.116638,0.932504,0.800896,7.157607493247111e-05
34,0.442835,0.101463,0.929273,0.79343,6.968202152937911e-05
35,0.431521,0.109848,0.936707,0.809503,6.775431634242987e-05
36,0.4306,0.09805,0.940805,0.835292,6.579634122155991e-05
37,0.43023,0.106771,0.943978,0.826114,6.381153112045566e-05
38,0.431819,0.100364,0.944896,0.817817,6.180336807047748e-05
39,0.429654,0.107427,0.938649,0.803991,5.977537507199339e-05
40,0.42937,0.133796,0.940784,0.827374,5.7731109913839396e-05
41,0.424598,0.101659,0.938289,0.8191,5.5674158931748874e-05
42,0.422273,0.110904,0.948947,0.83839,5.3608130716701026e-05
43,0.424495,0.109829,0.943263,0.832153,5.153664978422618e-05
44,0.418893,0.101191,0.945488,0.822547,4.946335021577385e-05
45,0.419906,0.099009,0.953161,0.835025,4.7391869283299e-05
46,0.418486,0.115297,0.95183,0.835869,4.532584106825117e-05
47,0.421959,0.102164,0.953331,0.842351,4.3268890086160646e-05
48,0.422351,0.114913,0.947021,0.841499,4.122462492800664e-05
49,0.41728,0.113001,0.947411,0.835305,3.9196631929522553e-05
50,0.415799,0.111123,0.942613,0.824953,3.7188468879544366e-05
51,0.414059,0.113075,0.937479,0.797342,3.520365877844011e-05
52,0.41213,0.11506,0.947024,0.817107,3.324568365757016e-05
53,0.416184,0.116198,0.943761,0.82009,3.131797847062091e-05
54,0.41287,0.098929,0.953225,0.829873,2.9423925067528912e-05
55,0.414443,0.106835,0.940243,0.811791,2.756684626156686e-05
56,0.415072,0.114485,0.943365,0.811632,2.5749999999999996e-05
57,0.410512,0.102351,0.943032,0.824514,2.3976573648539683e-05
58,0.40943,0.114964,0.946471,0.828265,2.2249678399620642e-05
59,0.40901,0.113804,0.948988,0.823857,2.057234381431245e-05
60,0.409845,0.109427,0.944638,0.82243,1.894751250743986e-05
61,0.407269,0.116091,0.947613,0.828745,1.7378034985236522e-05
62,0.409922,0.124408,0.945394,0.822274,1.5866664644588407e-05
63,0.407485,0.12002,0.944282,0.829052,1.441605294264014e-05
64,0.408105,0.11297,0.944421,0.824273,1.3028744745238064e-05
65,0.407076,0.114974,0.948705,0.832807,1.1707173862370933e-05
66,0.407808,0.112605,0.951507,0.83917,1.0453658778440105e-05
67,0.405406,0.1192,0.946,0.828378,9.270398584850076e-06
68,0.404338,0.132065,0.949974,0.835012,8.159469122054922e-06
69,0.405331,0.125211,0.946468,0.832668,7.122819337828751e-06
70,0.406334,0.119826,0.937346,0.809315,6.162267868149071e-06
71,0.404641,0.124633,0.937871,0.810892,5.2794998466912616e-06
72,0.405462,0.12343,0.941039,0.818485,4.4760639485315575e-06
73,0.404427,0.12609,0.941258,0.832645,3.75336967324469e-06
74,0.403466,0.121223,0.940133,0.828502,3.112684872162671e-06
75,0.406196,0.129594,0.943251,0.81919,2.5551335241327618e-06
76,0.405321,0.129032,0.943542,0.832726,2.0816937636766237e-06
77,0.404691,0.123832,0.947056,0.825551,1.6931961650100031e-06
78,0.402103,0.129093,0.942652,0.82089,1.3903222849333505e-06
79,0.403457,0.121832,0.942011,0.815388,1.1736034671495336e-06
80,0.404076,0.119397,0.94268,0.818494,1.04341991010651e-06
