epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.42735,0.382407,0.780759,0.512105,0.673297,0.001
2,0.350936,0.346213,0.778401,0.543369,0.684388,0.001
3,0.334149,0.348479,0.761766,0.471805,0.645782,0.001
4,0.337389,0.299318,0.808872,0.540245,0.701421,0.001
5,0.329245,0.296871,0.784908,0.550775,0.691255,0.001
6,0.277421,0.237985,0.877906,0.646323,0.785273,0.0001
7,0.237176,0.254308,0.846297,0.5612,0.732258,9.99565800898935e-05
8,0.212164,0.220351,0.889819,0.651073,0.794321,9.982639653285046e-05
9,0.184939,0.244078,0.885679,0.632454,0.784389,9.960967771506666e-05
10,0.171482,0.186151,0.919186,0.71033,0.835644,9.930680383498999e-05
11,0.154455,0.190655,0.902794,0.682147,0.814535,9.891830623632337e-05
12,0.136603,0.194404,0.90446,0.687385,0.81763,9.844486647586723e-05
13,0.124968,0.173329,0.921414,0.740246,0.848946,9.788731512783732e-05
14,0.109078,0.191708,0.909009,0.707247,0.828304,9.724663032675532e-05
15,0.095278,0.174799,0.921926,0.740698,0.849435,9.652393605146844e-05
16,0.097798,0.16523,0.920015,0.709657,0.835872,9.572050015330874e-05
17,0.085884,0.214597,0.933518,0.723778,0.849622,9.483773213185094e-05
18,0.08614,0.175954,0.932539,0.766693,0.866201,9.387718066217125e-05
19,0.074097,0.15499,0.93992,0.758185,0.867226,9.28405308779451e-05
20,0.068736,0.162069,0.9307,0.76627,0.864928,9.172960141514996e-05
21,0.057284,0.173899,0.934653,0.77593,0.871164,9.054634122155993e-05
22,0.064754,0.170413,0.922334,0.738449,0.84878,8.92928261376291e-05
23,0.058681,0.136571,0.94583,0.816608,0.894141,8.797125525476198e-05
24,0.053036,0.168892,0.933095,0.755009,0.86186,8.658394705735991e-05
25,0.054734,0.164693,0.942496,0.777243,0.876395,8.513333535541164e-05
26,0.04591,0.143754,0.941109,0.793137,0.88192,8.362196501476352e-05
27,0.042203,0.200054,0.932731,0.73744,0.854614,8.205248749256017e-05
28,0.040369,0.187646,0.944085,0.764399,0.872211,8.04276561856876e-05
29,0.038669,0.186621,0.937293,0.777841,0.873512,7.87503216003794e-05
30,0.034726,0.191829,0.928611,0.765081,0.863199,7.702342635146035e-05
31,0.041537,0.176072,0.947831,0.790569,0.884926,7.525000000000001e-05
32,0.035548,0.172663,0.932102,0.783432,0.872634,7.343315373843317e-05
33,0.031954,0.173366,0.94834,0.816845,0.895742,7.157607493247111e-05
34,0.034745,0.156968,0.945306,0.801481,0.887776,6.968202152937911e-05
35,0.030706,0.14974,0.939824,0.790442,0.880072,6.775431634242987e-05
36,0.031579,0.161626,0.949953,0.807075,0.892802,6.579634122155991e-05
37,0.026586,0.178985,0.942554,0.796421,0.884101,6.381153112045566e-05
38,0.025894,0.159904,0.942698,0.803133,0.886872,6.180336807047748e-05
39,0.023213,0.171684,0.945094,0.793183,0.88433,5.977537507199339e-05
40,0.026128,0.155112,0.944016,0.813201,0.89169,5.7731109913839396e-05
41,0.025517,0.168254,0.937956,0.791377,0.879324,5.5674158931748874e-05
42,0.022063,0.196938,0.939054,0.770769,0.87174,5.3608130716701026e-05
43,0.025224,0.163377,0.94319,0.782963,0.879099,5.153664978422618e-05
44,0.02288,0.185811,0.929961,0.787554,0.872998,4.946335021577385e-05
45,0.017197,0.18192,0.941212,0.797375,0.883677,4.7391869283299e-05
46,0.01761,0.192728,0.939611,0.795431,0.881939,4.532584106825117e-05
47,0.018006,0.182553,0.94583,0.825307,0.897621,4.3268890086160646e-05
48,0.019902,0.222301,0.923794,0.757408,0.85724,4.122462492800664e-05
49,0.017326,0.192287,0.940948,0.794976,0.88256,3.9196631929522553e-05
50,0.017142,0.193651,0.942729,0.798221,0.884926,3.7188468879544366e-05
51,0.015262,0.200823,0.943507,0.782059,0.878928,3.520365877844011e-05
52,0.018931,0.187395,0.939504,0.792604,0.880744,3.324568365757016e-05
53,0.015373,0.192597,0.948804,0.800633,0.889536,3.131797847062091e-05
54,0.01108,0.184211,0.946565,0.801057,0.888362,2.9423925067528912e-05
55,0.013428,0.169267,0.954689,0.822332,0.901746,2.756684626156686e-05
56,0.011635,0.190376,0.935407,0.778905,0.872806,2.5749999999999996e-05
57,0.011958,0.179201,0.948473,0.796391,0.88764,2.3976573648539683e-05
58,0.011379,0.205462,0.935233,0.782596,0.874178,2.2249678399620642e-05
59,0.010085,0.198498,0.931271,0.788549,0.874182,2.057234381431245e-05
60,0.009998,0.191371,0.946248,0.809058,0.891372,1.894751250743986e-05
61,0.00912,0.193219,0.93971,0.790537,0.880041,1.7378034985236522e-05
62,0.011078,0.181116,0.942964,0.810867,0.890125,1.5866664644588407e-05
63,0.010282,0.187046,0.947468,0.815007,0.894483,1.441605294264014e-05
64,0.008038,0.193974,0.942189,0.805736,0.887607,1.3028744745238064e-05
65,0.009429,0.199873,0.940422,0.794583,0.882086,1.1707173862370933e-05
66,0.008661,0.188384,0.948026,0.813951,0.894396,1.0453658778440105e-05
67,0.009432,0.178936,0.943983,0.802171,0.887258,9.270398584850076e-06
