epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.52691,0.283837,0.874525,0.462786,0.709829,0.001
2,0.447354,0.252508,0.875307,0.594907,0.763147,0.001
3,0.465483,0.257015,0.86045,0.482293,0.709187,0.001
4,0.437566,0.238123,0.84845,0.550854,0.729412,0.001
5,0.438312,0.254599,0.837553,0.569235,0.730226,0.001
6,0.450139,0.263257,0.838866,0.475139,0.693375,0.001
7,0.44451,0.266653,0.839343,0.492699,0.700686,0.001
8,0.430557,0.245484,0.848051,0.549874,0.72878,0.001
9,0.42065,0.231621,0.875782,0.606297,0.767988,0.001
10,0.446115,0.227346,0.886712,0.587593,0.767064,0.001
11,0.432142,0.274567,0.886065,0.518448,0.739018,0.001
12,0.432358,0.227989,0.871955,0.584172,0.756842,0.001
13,0.417787,0.230381,0.867298,0.567142,0.747236,0.001
14,0.427309,0.221448,0.896742,0.625434,0.788219,0.001
15,0.430782,0.23846,0.872855,0.598231,0.763005,0.001
16,0.440083,0.246265,0.878936,0.589461,0.763146,0.001
17,0.434633,0.253233,0.845901,0.5156,0.71378,0.001
18,0.437343,0.23556,0.88366,0.62253,0.779208,0.001
19,0.420903,0.27119,0.827786,0.493881,0.694224,0.001
20,0.450786,0.222919,0.890043,0.587036,0.768841,0.001
21,0.424396,0.254863,0.850025,0.506277,0.712526,0.001
22,0.436571,0.219424,0.899361,0.589035,0.775231,0.001
23,0.421715,0.234427,0.885077,0.52062,0.739294,0.001
24,0.446172,0.232522,0.895717,0.621614,0.786076,0.001
25,0.435619,0.226374,0.84576,0.560971,0.731844,0.001
26,0.423662,0.22728,0.89826,0.620551,0.787176,0.001
27,0.427639,0.231462,0.879097,0.551524,0.748068,0.001
28,0.43636,0.255932,0.858135,0.48409,0.708517,0.001
29,0.425316,0.233194,0.877763,0.553845,0.748196,0.001
30,0.412005,0.220466,0.896969,0.605346,0.78032,0.001
31,0.430899,0.245785,0.868642,0.561412,0.74575,0.001
32,0.429036,0.238793,0.840386,0.562862,0.729377,0.001
33,0.435999,0.243966,0.890508,0.492772,0.731414,0.001
34,0.417509,0.2241,0.849279,0.564036,0.735182,0.001
35,0.436408,0.223135,0.888074,0.572709,0.761928,0.001
36,0.44216,0.246795,0.886435,0.578266,0.763168,0.001
37,0.426895,0.244447,0.881404,0.581312,0.761367,0.001
38,0.420431,0.256269,0.828344,0.498751,0.696506,0.001
39,0.449297,0.235207,0.857629,0.546536,0.733192,0.001
40,0.431618,0.259054,0.879618,0.554502,0.749572,0.001
41,0.443661,0.232362,0.887061,0.572275,0.761147,0.001
42,0.417274,0.254534,0.83818,0.511768,0.707615,0.001
43,0.413866,0.273906,0.83532,0.469561,0.689016,0.001
44,0.43524,0.248293,0.866621,0.527753,0.731074,0.001
45,0.413001,0.239933,0.868888,0.541147,0.737792,0.001
46,0.423663,0.220933,0.889763,0.634435,0.787632,0.001
47,0.424782,0.242755,0.842963,0.559338,0.729513,0.001
48,0.426978,0.269291,0.883363,0.586326,0.764548,0.001
49,0.432107,0.222258,0.885649,0.596745,0.770087,0.001
50,0.426645,0.220313,0.869586,0.580488,0.753947,0.001
