epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.54125,0.278447,0.872365,0.459849,0.707359,0.001
2,0.457741,0.253693,0.861031,0.500559,0.716842,0.001
3,0.441341,0.234056,0.870597,0.583269,0.755666,0.001
4,0.453672,0.246671,0.889916,0.545798,0.752269,0.001
5,0.421326,0.261626,0.862966,0.517557,0.724802,0.001
6,0.375351,0.195928,0.89804,0.632761,0.791929,0.0001
7,0.348228,0.197603,0.885006,0.600234,0.771097,9.99565800898935e-05
8,0.331879,0.181683,0.905174,0.633368,0.796451,9.982639653285046e-05
9,0.318713,0.178502,0.897577,0.637045,0.793364,9.960967771506666e-05
10,0.300534,0.170391,0.882806,0.684438,0.803459,9.930680383498999e-05
11,0.285939,0.175302,0.897195,0.676526,0.808927,9.891830623632337e-05
12,0.290981,0.170342,0.911018,0.685439,0.820787,9.844486647586723e-05
13,0.276524,0.177946,0.906781,0.683966,0.817655,9.788731512783732e-05
14,0.276103,0.164312,0.911195,0.676746,0.817416,9.724663032675532e-05
15,0.267833,0.160693,0.918082,0.708979,0.834441,9.652393605146844e-05
16,0.260829,0.159061,0.91429,0.705473,0.830763,9.572050015330874e-05
17,0.255398,0.168983,0.891796,0.68824,0.810374,9.483773213185094e-05
18,0.247238,0.174245,0.896238,0.674117,0.80739,9.387718066217125e-05
19,0.242366,0.180291,0.904014,0.629338,0.794144,9.28405308779451e-05
20,0.245182,0.1622,0.905872,0.654854,0.805464,9.172960141514996e-05
21,0.235381,0.155512,0.916334,0.670449,0.81798,9.054634122155993e-05
22,0.226802,0.193144,0.901629,0.688947,0.816556,8.92928261376291e-05
23,0.223026,0.166183,0.912727,0.648745,0.807134,8.797125525476198e-05
24,0.221766,0.166399,0.914681,0.673471,0.818197,8.658394705735991e-05
25,0.21633,0.168373,0.89317,0.656842,0.798639,8.513333535541164e-05
26,0.213978,0.17548,0.89927,0.672546,0.80858,8.362196501476352e-05
27,0.204938,0.168095,0.903384,0.689071,0.817659,8.205248749256017e-05
28,0.204786,0.158551,0.907485,0.67229,0.813407,8.04276561856876e-05
29,0.204447,0.163752,0.911491,0.69838,0.826247,7.87503216003794e-05
30,0.200615,0.166841,0.907924,0.67705,0.815574,7.702342635146035e-05
31,0.19982,0.168483,0.907123,0.676126,0.814724,7.525000000000001e-05
32,0.198016,0.14889,0.898023,0.679526,0.810624,7.343315373843317e-05
33,0.18775,0.155345,0.893442,0.671225,0.804555,7.157607493247111e-05
34,0.192506,0.159383,0.897333,0.660349,0.802539,6.968202152937911e-05
35,0.185979,0.17821,0.900806,0.684525,0.814293,6.775431634242987e-05
36,0.170774,0.178211,0.8931,0.685533,0.810073,6.579634122155991e-05
37,0.171161,0.149643,0.912863,0.705287,0.829832,6.381153112045566e-05
38,0.165775,0.163679,0.911509,0.684816,0.820832,6.180336807047748e-05
39,0.173164,0.185605,0.901293,0.686259,0.81528,5.977537507199339e-05
40,0.167148,0.140567,0.913923,0.698437,0.827729,5.7731109913839396e-05
41,0.16381,0.152338,0.910634,0.69715,0.82524,5.5674158931748874e-05
42,0.161226,0.154762,0.900728,0.69148,0.817029,5.3608130716701026e-05
43,0.158638,0.158213,0.904319,0.685367,0.816738,5.153664978422618e-05
44,0.156072,0.141662,0.918507,0.698867,0.830651,4.946335021577385e-05
45,0.158022,0.160561,0.900502,0.680752,0.812602,4.7391869283299e-05
46,0.15698,0.152236,0.916173,0.715305,0.835826,4.532584106825117e-05
47,0.148289,0.145008,0.914023,0.721986,0.837208,4.3268890086160646e-05
