epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.546162,0.259028,0.822025,0.503643,0.694672,0.001
2,0.434967,0.235374,0.885624,0.594554,0.769196,0.001
3,0.440391,0.247664,0.894898,0.532118,0.749786,0.001
4,0.431644,0.260986,0.851643,0.487383,0.705939,0.001
5,0.439125,0.240938,0.877287,0.565156,0.752435,0.001
6,0.431474,0.285367,0.872946,0.44057,0.699995,0.001
7,0.425942,0.246865,0.85468,0.51962,0.720656,0.001
8,0.439068,0.251361,0.885052,0.594793,0.768949,0.001
9,0.425693,0.246985,0.88741,0.575969,0.762834,0.001
10,0.416711,0.256961,0.888597,0.599427,0.772929,0.001
11,0.429087,0.228049,0.890615,0.599352,0.77411,0.001
12,0.408756,0.218597,0.885545,0.606775,0.774037,0.001
13,0.433773,0.280238,0.786923,0.49142,0.668722,0.001
14,0.450475,0.257127,0.878932,0.585103,0.761401,0.001
15,0.429586,0.234209,0.87107,0.599078,0.762273,0.001
16,0.427542,0.229295,0.889933,0.591,0.77036,0.001
17,0.419599,0.231058,0.883611,0.592781,0.767279,0.001
18,0.426362,0.27561,0.88781,0.474452,0.722467,0.001
19,0.427394,0.231716,0.888901,0.589981,0.769333,0.001
20,0.420234,0.232053,0.902132,0.611926,0.78605,0.001
21,0.384894,0.216849,0.892167,0.626278,0.785811,1e-05
22,0.379196,0.208239,0.897698,0.604255,0.780321,9.993832906395583e-06
23,0.365036,0.206965,0.899691,0.632195,0.792693,9.97534852915723e-06
24,0.362279,0.198494,0.901259,0.630358,0.792899,9.94459753267812e-06
25,0.359396,0.198485,0.901427,0.64727,0.799765,9.901664203302126e-06
26,0.353556,0.196145,0.902126,0.626872,0.792024,9.846666218300808e-06
27,0.353458,0.194794,0.901602,0.63175,0.793661,9.779754323328192e-06
28,0.346685,0.190802,0.90032,0.651401,0.800753,9.701111919237408e-06
29,0.341455,0.191203,0.905704,0.66467,0.809291,9.610954559391704e-06
30,0.328627,0.187415,0.898883,0.658713,0.802815,9.509529358847657e-06
31,0.334,0.189372,0.897156,0.674583,0.808127,9.397114317029977e-06
32,0.3323,0.189275,0.909111,0.678053,0.816688,9.27401755575441e-06
33,0.328155,0.185351,0.902989,0.658914,0.805359,9.140576474687265e-06
34,0.329938,0.180891,0.901463,0.684863,0.814823,8.99715682655637e-06
35,0.323273,0.180954,0.903156,0.689088,0.817528,8.844151714648274e-06
36,0.314972,0.183962,0.905216,0.691648,0.819789,8.681980515339464e-06
37,0.313525,0.178284,0.903216,0.664472,0.807718,8.511087728614861e-06
38,0.3071,0.180891,0.907515,0.693841,0.822046,8.331941759724268e-06
39,0.312978,0.17849,0.903424,0.673065,0.811281,8.145033635316128e-06
