epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.524901,0.306142,0.72391,0.34656,0.57297,0.001
2,0.441453,0.335827,0.715365,0.433091,0.602456,0.001
3,0.46969,0.289921,0.806622,0.415183,0.650046,0.001
4,0.447211,0.267115,0.765279,0.521822,0.667896,0.001
5,0.399944,0.257847,0.782907,0.536497,0.684343,0.001
6,0.322823,0.206412,0.851825,0.595309,0.749219,0.0001
7,0.269646,0.1809,0.870951,0.659941,0.786547,9.99565800898935e-05
8,0.233224,0.175154,0.882773,0.656397,0.792223,9.982639653285046e-05
9,0.212831,0.172901,0.883343,0.657417,0.792973,9.960967771506666e-05
10,0.186952,0.162565,0.900206,0.676028,0.810535,9.930680383498999e-05
11,0.175061,0.152125,0.91241,0.664725,0.813336,9.891830623632337e-05
12,0.164902,0.148871,0.919003,0.696114,0.829848,9.844486647586723e-05
13,0.154861,0.141808,0.915873,0.715485,0.835718,9.788731512783732e-05
14,0.138725,0.13067,0.924161,0.724604,0.844338,9.724663032675532e-05
15,0.138814,0.118902,0.936975,0.743905,0.859747,9.652393605146844e-05
16,0.122325,0.127054,0.921638,0.708323,0.836312,9.572050015330874e-05
17,0.108914,0.125178,0.938707,0.720455,0.851406,9.483773213185094e-05
18,0.105739,0.141508,0.917547,0.701384,0.831082,9.387718066217125e-05
19,0.100484,0.133033,0.920454,0.719158,0.839935,9.28405308779451e-05
20,0.088612,0.163225,0.891323,0.693932,0.812366,9.172960141514996e-05
21,0.094058,0.15255,0.903714,0.682107,0.815071,9.054634122155993e-05
22,0.083072,0.121274,0.922469,0.759354,0.857223,8.92928261376291e-05
23,0.081563,0.139143,0.914432,0.700546,0.828878,8.797125525476198e-05
24,0.079791,0.12636,0.920013,0.74718,0.850879,8.658394705735991e-05
25,0.075061,0.131101,0.924796,0.752197,0.855756,8.513333535541164e-05
26,0.068225,0.123764,0.926706,0.748702,0.855505,8.362196501476352e-05
27,0.068301,0.157405,0.902156,0.693163,0.818559,8.205248749256017e-05
28,0.067433,0.131047,0.929864,0.755345,0.860056,8.04276561856876e-05
29,0.061032,0.128373,0.924923,0.743767,0.852461,7.87503216003794e-05
30,0.061208,0.122124,0.944128,0.772104,0.875319,7.702342635146035e-05
31,0.05444,0.119567,0.920952,0.755464,0.854757,7.525000000000001e-05
32,0.050313,0.123651,0.929817,0.762772,0.862999,7.343315373843317e-05
33,0.04963,0.119682,0.932738,0.752322,0.860572,7.157607493247111e-05
34,0.043518,0.114043,0.9399,0.753055,0.865162,6.968202152937911e-05
35,0.042971,0.136022,0.926001,0.760923,0.85997,6.775431634242987e-05
36,0.042604,0.122991,0.941891,0.763701,0.870615,6.579634122155991e-05
37,0.035722,0.116776,0.945757,0.784214,0.88114,6.381153112045566e-05
38,0.031909,0.12022,0.940927,0.779831,0.876488,6.180336807047748e-05
39,0.035682,0.136796,0.927722,0.755486,0.858828,5.977537507199339e-05
40,0.03642,0.123877,0.929242,0.756432,0.860118,5.7731109913839396e-05
41,0.031585,0.110984,0.939264,0.762218,0.868446,5.5674158931748874e-05
42,0.041355,0.120783,0.939574,0.762776,0.868855,5.3608130716701026e-05
43,0.030136,0.125625,0.932323,0.771842,0.86813,5.153664978422618e-05
44,0.032001,0.109489,0.940289,0.79156,0.880797,4.946335021577385e-05
45,0.028432,0.122906,0.938057,0.793544,0.880252,4.7391869283299e-05
46,0.030374,0.103118,0.939764,0.797465,0.882845,4.532584106825117e-05
47,0.029608,0.1021,0.945858,0.796097,0.885954,4.3268890086160646e-05
48,0.025991,0.116186,0.938347,0.797314,0.881934,4.122462492800664e-05
49,0.0235,0.118294,0.93137,0.761575,0.863452,3.9196631929522553e-05
50,0.023987,0.137084,0.926247,0.748374,0.855098,3.7188468879544366e-05
51,0.025358,0.107832,0.949984,0.813919,0.895558,3.520365877844011e-05
52,0.023035,0.118857,0.937536,0.757002,0.865322,3.324568365757016e-05
53,0.023647,0.118575,0.933287,0.782841,0.873109,3.131797847062091e-05
54,0.019517,0.10587,0.944714,0.807806,0.889951,2.9423925067528912e-05
55,0.020891,0.114233,0.934538,0.79299,0.877919,2.756684626156686e-05
56,0.019134,0.109735,0.9377,0.795685,0.880894,2.5749999999999996e-05
57,0.016541,0.109245,0.945556,0.804329,0.889065,2.3976573648539683e-05
58,0.019255,0.104465,0.945936,0.805516,0.889768,2.2249678399620642e-05
59,0.01922,0.102379,0.948539,0.8135,0.894524,2.057234381431245e-05
60,0.016969,0.110696,0.939742,0.781123,0.876294,1.894751250743986e-05
61,0.016673,0.104608,0.944424,0.789937,0.882629,1.7378034985236522e-05
62,0.017245,0.101272,0.948517,0.812886,0.894265,1.5866664644588407e-05
63,0.017943,0.097065,0.952901,0.830546,0.903959,1.441605294264014e-05
