epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.722173,0.317847,0.7621,0.565188,0.683335,0.001
2,0.605909,0.499313,0.632592,0.415192,0.545632,0.001
3,0.570975,0.375319,0.673056,0.4744,0.593593,0.001
4,0.54982,0.42058,0.76171,0.455909,0.63939,0.001
5,0.616312,0.373722,0.663778,0.508531,0.601679,0.001
6,0.423585,0.237992,0.866552,0.583031,0.753144,0.0001
7,0.327978,0.22009,0.84606,0.516323,0.714165,9.99565800898935e-05
8,0.284912,0.184139,0.880873,0.595018,0.766531,9.982639653285046e-05
9,0.244569,0.167916,0.892149,0.678209,0.806573,9.960967771506666e-05
10,0.22627,0.145594,0.916688,0.696347,0.828552,9.930680383498999e-05
11,0.201978,0.153095,0.911845,0.740896,0.843466,9.891830623632337e-05
12,0.171451,0.144512,0.900753,0.729052,0.832073,9.844486647586723e-05
13,0.154996,0.142952,0.894626,0.691694,0.813453,9.788731512783732e-05
14,0.142551,0.105825,0.927733,0.788791,0.872156,9.724663032675532e-05
15,0.134852,0.11017,0.93469,0.772549,0.869833,9.652393605146844e-05
16,0.119116,0.113923,0.930641,0.762027,0.863195,9.572050015330874e-05
17,0.110608,0.165865,0.918756,0.706775,0.833964,9.483773213185094e-05
18,0.100172,0.101501,0.931993,0.800807,0.879518,9.387718066217125e-05
19,0.083687,0.144922,0.932624,0.770729,0.867866,9.28405308779451e-05
20,0.081411,0.115112,0.933998,0.772534,0.869413,9.172960141514996e-05
21,0.083816,0.102997,0.929132,0.773152,0.86674,9.054634122155993e-05
22,0.080968,0.119307,0.926718,0.763477,0.861421,8.92928261376291e-05
23,0.075946,0.115741,0.935103,0.801097,0.881501,8.797125525476198e-05
24,0.065749,0.094253,0.935435,0.787065,0.876087,8.658394705735991e-05
25,0.068473,0.119834,0.92952,0.787799,0.872831,8.513333535541164e-05
26,0.061712,0.103026,0.936149,0.801834,0.882423,8.362196501476352e-05
27,0.05581,0.170082,0.937866,0.782262,0.875624,8.205248749256017e-05
28,0.049112,0.139987,0.941015,0.786675,0.879279,8.04276561856876e-05
29,0.054289,0.110699,0.939796,0.806958,0.886661,7.87503216003794e-05
30,0.049911,0.116741,0.927185,0.759337,0.860046,7.702342635146035e-05
31,0.046117,0.13413,0.930254,0.794016,0.875759,7.525000000000001e-05
32,0.040768,0.16287,0.939492,0.792669,0.880762,7.343315373843317e-05
33,0.042299,0.138721,0.9346,0.787198,0.875639,7.157607493247111e-05
34,0.036445,0.129172,0.934693,0.792453,0.877797,6.968202152937911e-05
35,0.040576,0.129643,0.938431,0.818883,0.890612,6.775431634242987e-05
36,0.035817,0.124323,0.940153,0.802777,0.885203,6.579634122155991e-05
37,0.034508,0.111353,0.929631,0.795523,0.875988,6.381153112045566e-05
38,0.034588,0.178574,0.927507,0.783982,0.870097,6.180336807047748e-05
39,0.031116,0.113786,0.931011,0.806516,0.881213,5.977537507199339e-05
40,0.0293,0.124291,0.931385,0.815659,0.885095,5.7731109913839396e-05
41,0.032604,0.117751,0.933457,0.80293,0.881246,5.5674158931748874e-05
42,0.025195,0.150226,0.943673,0.806486,0.888798,5.3608130716701026e-05
43,0.027444,0.129141,0.936357,0.821558,0.890437,5.153664978422618e-05
44,0.025835,0.148784,0.939153,0.803801,0.885012,4.946335021577385e-05
45,0.027051,0.124898,0.941547,0.818754,0.89243,4.7391869283299e-05
46,0.019216,0.148645,0.94407,0.814114,0.892087,4.532584106825117e-05
