epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.542993,0.281358,0.860717,0.466878,0.703182,0.001
2,0.448262,0.235137,0.875609,0.593454,0.762747,0.001
3,0.45833,0.251248,0.893702,0.543081,0.753454,0.001
4,0.446797,0.232065,0.874536,0.579774,0.756631,0.001
5,0.440567,0.236568,0.896363,0.563066,0.763045,0.001
6,0.387613,0.199256,0.896659,0.604041,0.779612,0.0001
7,0.349306,0.191339,0.903803,0.645386,0.800436,9.99565800898935e-05
8,0.3362,0.195031,0.883009,0.582365,0.762751,9.982639653285046e-05
9,0.318837,0.182958,0.886999,0.691442,0.808776,9.960967771506666e-05
10,0.3111,0.172927,0.921677,0.651147,0.813465,9.930680383498999e-05
11,0.305519,0.181826,0.89088,0.676347,0.805067,9.891830623632337e-05
12,0.305416,0.18127,0.899212,0.669385,0.807281,9.844486647586723e-05
13,0.292491,0.182574,0.898048,0.627719,0.789916,9.788731512783732e-05
14,0.287486,0.181117,0.899628,0.678055,0.810999,9.724663032675532e-05
15,0.286194,0.168414,0.900129,0.701215,0.820563,9.652393605146844e-05
16,0.276984,0.174636,0.887423,0.686614,0.8071,9.572050015330874e-05
17,0.273768,0.167565,0.879653,0.666572,0.79442,9.483773213185094e-05
18,0.279474,0.165694,0.910323,0.679319,0.817921,9.387718066217125e-05
19,0.266876,0.183759,0.895964,0.676651,0.808239,9.28405308779451e-05
20,0.2674,0.179384,0.898208,0.683582,0.812358,9.172960141514996e-05
21,0.275733,0.188995,0.909074,0.691177,0.821915,9.054634122155993e-05
22,0.264539,0.161414,0.908478,0.687794,0.820204,8.92928261376291e-05
23,0.258346,0.177659,0.899412,0.680638,0.811903,8.797125525476198e-05
24,0.2468,0.177961,0.910569,0.694353,0.824082,8.658394705735991e-05
25,0.251723,0.157016,0.919499,0.642671,0.808768,8.513333535541164e-05
26,0.250272,0.152877,0.909021,0.698929,0.824984,8.362196501476352e-05
27,0.257714,0.161149,0.910718,0.680582,0.818664,8.205248749256017e-05
28,0.24594,0.198019,0.905551,0.672863,0.812476,8.04276561856876e-05
29,0.239044,0.164871,0.918197,0.649457,0.810701,7.87503216003794e-05
30,0.240933,0.164178,0.902626,0.679955,0.813558,7.702342635146035e-05
31,0.243522,0.15481,0.91895,0.675694,0.821648,7.525000000000001e-05
32,0.239615,0.165509,0.900802,0.688933,0.816054,7.343315373843317e-05
33,0.233023,0.166942,0.897877,0.693627,0.816177,7.157607493247111e-05
34,0.230431,0.15032,0.900232,0.691006,0.816542,6.968202152937911e-05
35,0.227143,0.159651,0.902077,0.666722,0.807935,6.775431634242987e-05
36,0.224658,0.167781,0.911191,0.689283,0.822428,6.579634122155991e-05
37,0.225155,0.174107,0.90008,0.674652,0.809909,6.381153112045566e-05
38,0.224304,0.155012,0.907981,0.692094,0.821626,6.180336807047748e-05
39,0.228039,0.151284,0.914445,0.706147,0.831126,5.977537507199339e-05
40,0.22346,0.144557,0.924947,0.697035,0.833782,5.7731109913839396e-05
41,0.217597,0.146121,0.901105,0.673008,0.809866,5.5674158931748874e-05
42,0.215989,0.148221,0.921602,0.695386,0.831116,5.3608130716701026e-05
43,0.205879,0.161968,0.902964,0.668892,0.809335,5.153664978422618e-05
44,0.213257,0.151178,0.913674,0.65096,0.808588,4.946335021577385e-05
45,0.219396,0.15239,0.90604,0.669019,0.811232,4.7391869283299e-05
46,0.214973,0.148842,0.911358,0.704188,0.82849,4.532584106825117e-05
47,0.209106,0.148505,0.910168,0.697515,0.825107,4.3268890086160646e-05
48,0.204591,0.150227,0.924563,0.698437,0.834113,4.122462492800664e-05
49,0.204037,0.154621,0.904564,0.663265,0.808044,3.9196631929522553e-05
50,0.202815,0.151371,0.913951,0.668684,0.815844,3.7188468879544366e-05
51,0.203158,0.159665,0.912732,0.698229,0.826931,3.520365877844011e-05
52,0.197372,0.152886,0.909973,0.660212,0.810069,3.324568365757016e-05
53,0.20289,0.148949,0.916726,0.676115,0.820481,3.131797847062091e-05
54,0.200637,0.156228,0.911035,0.68737,0.821569,2.9423925067528912e-05
55,0.188899,0.152784,0.914071,0.684628,0.822294,2.756684626156686e-05
56,0.205285,0.143953,0.918624,0.659428,0.814946,2.5749999999999996e-05
57,0.190142,0.14923,0.917496,0.704372,0.832246,2.3976573648539683e-05
58,0.193495,0.156377,0.912093,0.679394,0.819013,2.2249678399620642e-05
59,0.191964,0.151591,0.91607,0.696888,0.828397,2.057234381431245e-05
60,0.184895,0.149979,0.920615,0.704135,0.834023,1.894751250743986e-05
61,0.179907,0.152106,0.914121,0.678389,0.819828,1.7378034985236522e-05
62,0.184323,0.144668,0.921783,0.701423,0.833639,1.5866664644588407e-05
63,0.18576,0.145099,0.924939,0.693727,0.832455,1.441605294264014e-05
64,0.182827,0.145305,0.923906,0.70029,0.834459,1.3028744745238064e-05
65,0.181518,0.145416,0.921223,0.692384,0.829688,1.1707173862370933e-05
66,0.177817,0.147575,0.917226,0.696988,0.829131,1.0453658778440105e-05
67,0.187892,0.147257,0.919988,0.684489,0.825788,9.270398584850076e-06
68,0.182018,0.146189,0.920793,0.688162,0.827741,8.159469122054922e-06
69,0.179032,0.149468,0.91806,0.700496,0.831034,7.122819337828751e-06
70,0.183154,0.143788,0.921903,0.700399,0.833301,6.162267868149071e-06
71,0.175408,0.144863,0.920294,0.698143,0.831434,5.2794998466912616e-06
72,0.174272,0.145215,0.918563,0.694077,0.828768,4.4760639485315575e-06
73,0.178133,0.144259,0.923646,0.700166,0.834254,3.75336967324469e-06
74,0.181339,0.157268,0.911938,0.696999,0.825963,3.112684872162671e-06
75,0.172061,0.147194,0.917314,0.685513,0.824594,2.5551335241327618e-06
76,0.175127,0.149338,0.916943,0.70009,0.830202,2.0816937636766237e-06
77,0.181541,0.148277,0.919764,0.69107,0.828287,1.6931961650100031e-06
78,0.171398,0.152145,0.914094,0.685582,0.822689,1.3903222849333505e-06
79,0.171713,0.144714,0.924147,0.70278,0.8356,1.1736034671495336e-06
80,0.178078,0.148528,0.918883,0.68657,0.825958,1.04341991010651e-06
