epoch,train_loss,val_loss,val_qwk,val_macro_f1,val_composite,lr
1,0.424606,0.256092,0.85932,0.487214,0.710478,0.001
2,0.373124,0.247246,0.834687,0.496473,0.699402,0.001
3,0.378584,0.235717,0.87436,0.516483,0.731209,0.001
4,0.363021,0.227213,0.860881,0.50242,0.717497,0.001
5,0.357631,0.218357,0.893812,0.596542,0.774904,0.001
6,0.327043,0.183565,0.91596,0.611683,0.794249,0.0001
7,0.299199,0.177386,0.907263,0.633171,0.797626,9.99565800898935e-05
8,0.294674,0.17172,0.925851,0.638155,0.810773,9.982639653285046e-05
9,0.280158,0.166499,0.915455,0.632491,0.80227,9.960967771506666e-05
10,0.272199,0.164384,0.910807,0.605645,0.788742,9.930680383498999e-05
11,0.269129,0.165289,0.912913,0.654851,0.809688,9.891830623632337e-05
12,0.260899,0.153242,0.93175,0.648696,0.818528,9.844486647586723e-05
13,0.262565,0.157255,0.928096,0.641119,0.813305,9.788731512783732e-05
14,0.256103,0.158814,0.928461,0.684481,0.830869,9.724663032675532e-05
15,0.253325,0.158451,0.93328,0.687459,0.834952,9.652393605146844e-05
16,0.246169,0.163602,0.911219,0.629722,0.79862,9.572050015330874e-05
17,0.243285,0.157067,0.91912,0.62136,0.800016,9.483773213185094e-05
18,0.236969,0.155566,0.915539,0.637164,0.804189,9.387718066217125e-05
19,0.232669,0.146474,0.933091,0.689449,0.835634,9.28405308779451e-05
20,0.235901,0.144451,0.939151,0.681127,0.835941,9.172960141514996e-05
21,0.233877,0.164273,0.901522,0.635115,0.794959,9.054634122155993e-05
22,0.230961,0.162589,0.908428,0.651197,0.805536,8.92928261376291e-05
23,0.223096,0.152723,0.919666,0.661598,0.816439,8.797125525476198e-05
24,0.225474,0.152006,0.921722,0.672161,0.821898,8.658394705735991e-05
25,0.215738,0.154339,0.924641,0.66579,0.821101,8.513333535541164e-05
26,0.215989,0.147612,0.930899,0.663187,0.823814,8.362196501476352e-05
27,0.214573,0.146862,0.925252,0.667076,0.821981,8.205248749256017e-05
28,0.205665,0.147162,0.92827,0.679956,0.828945,8.04276561856876e-05
29,0.211521,0.152904,0.912171,0.659044,0.81092,7.87503216003794e-05
30,0.208748,0.148596,0.92282,0.671995,0.82249,7.702342635146035e-05
31,0.203576,0.142797,0.938493,0.705609,0.845339,7.525000000000001e-05
32,0.203522,0.149724,0.935018,0.672553,0.830032,7.343315373843317e-05
33,0.201381,0.15073,0.928751,0.675245,0.827349,7.157607493247111e-05
34,0.193338,0.147664,0.923827,0.670015,0.822302,6.968202152937911e-05
35,0.190061,0.146231,0.92657,0.675366,0.826088,6.775431634242987e-05
36,0.197957,0.150791,0.92685,0.684427,0.829881,6.579634122155991e-05
37,0.19252,0.146731,0.924754,0.670506,0.823055,6.381153112045566e-05
38,0.187585,0.151293,0.929205,0.658251,0.820824,6.180336807047748e-05
39,0.190345,0.143477,0.93118,0.676109,0.829152,5.977537507199339e-05
40,0.191822,0.14742,0.93299,0.696671,0.838462,5.7731109913839396e-05
41,0.186677,0.141299,0.934327,0.695727,0.838887,5.5674158931748874e-05
42,0.187191,0.142157,0.934516,0.696856,0.839452,5.3608130716701026e-05
43,0.184643,0.141405,0.93539,0.677292,0.832151,5.153664978422618e-05
44,0.180838,0.136613,0.941491,0.712928,0.850066,4.946335021577385e-05
45,0.173362,0.13918,0.94127,0.70015,0.844822,4.7391869283299e-05
46,0.175591,0.138872,0.93183,0.698097,0.838337,4.532584106825117e-05
47,0.17079,0.138484,0.935936,0.688023,0.836771,4.3268890086160646e-05
48,0.172878,0.139683,0.93719,0.705988,0.84471,4.122462492800664e-05
49,0.173926,0.142982,0.929279,0.700863,0.837913,3.9196631929522553e-05
50,0.172063,0.138202,0.930977,0.685361,0.83273,3.7188468879544366e-05
51,0.169647,0.134596,0.935773,0.704633,0.843317,3.520365877844011e-05
52,0.168781,0.137502,0.935507,0.681302,0.833825,3.324568365757016e-05
53,0.165826,0.13607,0.941257,0.70981,0.848679,3.131797847062091e-05
54,0.161084,0.140723,0.93269,0.700594,0.839852,2.9423925067528912e-05
55,0.166094,0.136919,0.937409,0.69611,0.840889,2.756684626156686e-05
56,0.157891,0.13721,0.93137,0.690138,0.834877,2.5749999999999996e-05
57,0.163567,0.134821,0.938903,0.703473,0.844731,2.3976573648539683e-05
58,0.161385,0.134323,0.937687,0.704526,0.844422,2.2249678399620642e-05
59,0.162295,0.134838,0.939422,0.696479,0.842245,2.057234381431245e-05
60,0.157672,0.136901,0.93496,0.692278,0.837887,1.894751250743986e-05
61,0.159863,0.137003,0.93304,0.679483,0.831617,1.7378034985236522e-05
62,0.154609,0.136628,0.93372,0.693361,0.837576,1.5866664644588407e-05
63,0.156845,0.137999,0.932219,0.692675,0.836401,1.441605294264014e-05
64,0.155491,0.133987,0.935733,0.680873,0.833789,1.3028744745238064e-05
65,0.158146,0.134461,0.936874,0.699419,0.841892,1.1707173862370933e-05
66,0.15522,0.135545,0.933389,0.68757,0.835062,1.0453658778440105e-05
67,0.153554,0.136911,0.933234,0.678203,0.831221,9.270398584850076e-06
68,0.1501,0.138829,0.929655,0.689788,0.833708,8.159469122054922e-06
69,0.152624,0.13631,0.930114,0.679195,0.829747,7.122819337828751e-06
70,0.149491,0.13534,0.937207,0.706179,0.844796,6.162267868149071e-06
71,0.151084,0.137283,0.932649,0.679979,0.831581,5.2794998466912616e-06
72,0.149473,0.135317,0.937953,0.693022,0.839981,4.4760639485315575e-06
73,0.148251,0.137024,0.93305,0.681396,0.832389,3.75336967324469e-06
74,0.15259,0.135967,0.934938,0.698834,0.840496,3.112684872162671e-06
75,0.148269,0.136853,0.935273,0.692312,0.838089,2.5551335241327618e-06
76,0.15061,0.136674,0.934369,0.696449,0.839201,2.0816937636766237e-06
77,0.150486,0.135211,0.93331,0.689237,0.835681,1.6931961650100031e-06
78,0.148698,0.134303,0.93435,0.691265,0.837116,1.3903222849333505e-06
79,0.147074,0.136151,0.933265,0.683965,0.833545,1.1736034671495336e-06
80,0.148049,0.135875,0.93542,0.695561,0.839476,1.04341991010651e-06
